Epoch,IOU_Train,IOU_Val
560,0.7119,0.4761
561,0.7125,0.5331
562,0.7139,0.5265
563,0.7113,0.4234
564,0.7125,0.5318
565,0.7122,0.4906
566,0.7120,0.4815
567,0.7125,0.5026
568,0.7123,0.5534
569,0.7137,0.5118
570,0.7134,0.4736
571,0.7127,0.5489
572,0.7126,0.4828
573,0.7142,0.4425
574,0.7138,0.5150
575,0.7134,0.4491
576,0.7125,0.4648
577,0.7126,0.5358
578,0.7132,0.5470
579,0.7129,0.5329
580,0.7130,0.4905
581,0.7137,0.4643
582,0.7125,0.5150
583,0.7136,0.2891
584,0.7143,0.4992
585,0.7130,0.5200
586,0.7132,0.3294
587,0.7122,0.5519
588,0.7127,0.4088
589,0.7130,0.5339
590,0.7133,0.4880
591,0.7135,0.5519
592,0.7129,0.5033
593,0.7130,0.5382
594,0.7140,0.5184
595,0.7132,0.4641
596,0.7141,0.5157
597,0.7121,0.3616
598,0.7126,0.3839
599,0.7132,0.3219
600,0.7131,0.4693
601,0.7139,0.5487
602,0.7145,0.5269
603,0.7134,0.4533
604,0.7136,0.5225
605,0.7152,0.4505
606,0.7140,0.4975
607,0.7134,0.2689
608,0.7134,0.4768
609,0.7137,0.4812
610,0.7133,0.5152
611,0.7121,0.4619
612,0.7141,0.3885
613,0.7136,0.4750
614,0.7132,0.4815
615,0.7139,0.4546
616,0.7131,0.5253
617,0.7140,0.4932
618,0.7139,0.5130
619,0.7138,0.5347
620,0.7126,0.4831
621,0.7142,0.4932
622,0.7136,0.3864
623,0.7138,0.5139
624,0.7136,0.4930
625,0.7142,0.4617
626,0.7136,0.4648
627,0.7136,0.2338
628,0.7132,0.4455
629,0.7130,0.5205
630,0.7126,0.4433
631,0.7146,0.3705
632,0.7132,0.3539
633,0.7138,0.4990
634,0.7134,0.4926
635,0.7138,0.5059
636,0.7142,0.4739
637,0.7132,0.5150
638,0.7136,0.4672
639,0.7145,0.5148
640,0.7139,0.4411
641,0.7139,0.4904
642,0.7142,0.5044
643,0.7145,0.4553
644,0.7137,0.3332
645,0.7149,0.4468
646,0.7143,0.5281
647,0.7152,0.4845
648,0.7139,0.5367
649,0.7147,0.4895
650,0.7154,0.4948
651,0.7139,0.3868
652,0.7141,0.5386
653,0.7137,0.5485
654,0.7152,0.5216
655,0.7149,0.3455
656,0.7140,0.4515
657,0.7145,0.5154
658,0.7141,0.4637
659,0.7140,0.5608
660,0.7156,0.5260
661,0.7154,0.4848
662,0.7145,0.5300
663,0.7149,0.4418
664,0.7155,0.5323
665,0.7140,0.4041
666,0.7150,0.5464
667,0.7155,0.4405
668,0.7141,0.5118
669,0.7149,0.4220
670,0.7148,0.4595
671,0.7144,0.5244
672,0.7160,0.4850
673,0.7150,0.5504
674,0.7160,0.4782
675,0.7165,0.4015
676,0.7157,0.4653
677,0.7148,0.5061
678,0.7147,0.5072
679,0.7141,0.5542
680,0.7155,0.5364
681,0.7155,0.5203
682,0.7146,0.4733
683,0.7164,0.4701
684,0.7147,0.5083
685,0.7145,0.5230
686,0.7146,0.5478
687,0.7154,0.5116
688,0.7150,0.4937
689,0.7150,0.3902
690,0.7149,0.4837
691,0.7152,0.5361
692,0.7155,0.4575
693,0.7148,0.4346
694,0.7164,0.4961
695,0.7148,0.5431
696,0.7156,0.4331
697,0.7151,0.5483
698,0.7159,0.5232
699,0.7148,0.4198
700,0.7164,0.3799
701,0.7158,0.4919
