Epoch,Loss,IOU_Train,IOU_Val,Time
500,0.131851,0.7118,0.4012,46.96
501,0.132520,0.7107,0.4941,43.42
502,0.131600,0.7117,0.4754,43.40
503,0.132769,0.7107,0.3371,43.97
504,0.131568,0.7120,0.5003,43.43
505,0.132423,0.7106,0.5568,43.31
506,0.131826,0.7116,0.4736,43.49
507,0.132727,0.7114,0.5029,43.38
508,0.132618,0.7108,0.4434,43.43
509,0.131681,0.7120,0.5063,43.36
510,0.132005,0.7114,0.5250,43.32
511,0.132651,0.7110,0.4855,43.45
512,0.132144,0.7109,0.4685,43.42
513,0.132111,0.7116,0.4707,43.02
514,0.131439,0.7121,0.4398,43.44
515,0.132757,0.7108,0.5213,43.10
516,0.131401,0.7122,0.5418,43.45
517,0.131819,0.7116,0.5484,43.44
518,0.130976,0.7131,0.5442,43.48
519,0.130833,0.7129,0.4668,43.58
520,0.132062,0.7114,0.5110,43.67
521,0.131983,0.7114,0.3210,43.55
522,0.131002,0.7127,0.4711,43.41
523,0.131557,0.7118,0.5544,43.36
524,0.131813,0.7114,0.4448,43.40
525,0.131484,0.7117,0.5414,43.74
526,0.131117,0.7128,0.5305,43.45
527,0.132226,0.7117,0.3754,43.09
528,0.131111,0.7126,0.5495,43.23
529,0.131629,0.7122,0.5207,43.11
530,0.131262,0.7123,0.5076,43.01
531,0.132013,0.7113,0.5328,43.06
532,0.130908,0.7125,0.5464,43.50
533,0.131743,0.7115,0.5111,43.56
534,0.131924,0.7115,0.4372,43.35
535,0.130321,0.7129,0.3917,43.02
536,0.131340,0.7121,0.5409,43.06
537,0.131438,0.7122,0.5087,44.13
538,0.131905,0.7121,0.4396,43.07
539,0.131434,0.7118,0.4871,43.61
540,0.130877,0.7130,0.4300,43.18
541,0.132427,0.7112,0.4896,43.14
542,0.131431,0.7125,0.5088,43.19
543,0.131070,0.7135,0.5019,43.49
544,0.132353,0.7115,0.4842,43.38
545,0.132218,0.7118,0.5140,43.73
546,0.131317,0.7128,0.5449,43.90
547,0.131092,0.7126,0.2849,43.78
548,0.131548,0.7121,0.4408,43.63
549,0.131770,0.7113,0.4814,43.17
550,0.130927,0.7130,0.4530,43.19
551,0.132724,0.7109,0.3528,43.15
552,0.131477,0.7127,0.4353,43.42
553,0.131940,0.7121,0.4795,43.11
554,0.132074,0.7113,0.4890,43.95
555,0.131491,0.7130,0.5389,43.29
556,0.129849,0.7145,0.5388,43.17
557,0.131305,0.7122,0.4757,43.31
558,0.131072,0.7118,0.4623,43.43
559,0.131453,0.7124,0.5249,43.48
560,0.131558,0.7118,0.5480,43.29
561,0.131123,0.7129,0.4839,43.34
562,0.132099,0.7115,0.4700,43.31
