Epoch,IOU_Train,IOU_Val
500,0.7118,0.4012
501,0.7107,0.4941
502,0.7117,0.4754
503,0.7107,0.3371
504,0.7120,0.5003
505,0.7106,0.5568
506,0.7116,0.4736
507,0.7114,0.5029
508,0.7108,0.4434
509,0.7120,0.5063
510,0.7114,0.5250
511,0.7110,0.4855
512,0.7109,0.4685
513,0.7116,0.4707
514,0.7121,0.4398
515,0.7108,0.5213
516,0.7122,0.5418
517,0.7116,0.5484
518,0.7131,0.5442
519,0.7129,0.4668
520,0.7114,0.5110
521,0.7114,0.3210
522,0.7127,0.4711
523,0.7118,0.5544
524,0.7114,0.4448
525,0.7117,0.5414
526,0.7128,0.5305
527,0.7117,0.3754
528,0.7126,0.5495
529,0.7122,0.5207
530,0.7123,0.5076
531,0.7113,0.5328
532,0.7125,0.5464
533,0.7115,0.5111
534,0.7115,0.4372
535,0.7129,0.3917
536,0.7121,0.5409
537,0.7122,0.5087
538,0.7121,0.4396
539,0.7118,0.4871
540,0.7130,0.4300
541,0.7112,0.4896
542,0.7125,0.5088
543,0.7135,0.5019
544,0.7115,0.4842
545,0.7118,0.5140
546,0.7128,0.5449
547,0.7126,0.2849
548,0.7121,0.4408
549,0.7113,0.4814
550,0.7130,0.4530
551,0.7109,0.3528
552,0.7127,0.4353
553,0.7121,0.4795
554,0.7113,0.4890
555,0.7130,0.5389
556,0.7145,0.5388
557,0.7122,0.4757
558,0.7118,0.4623
559,0.7124,0.5249
560,0.7118,0.5480
561,0.7129,0.4839
562,0.7115,0.4700
