Epoch,Loss,IOU_Train,IOU_Val,Time
560,0.131546,0.7119,0.4761,45.46
561,0.131228,0.7125,0.5331,45.12
562,0.130295,0.7139,0.5265,45.46
563,0.132097,0.7113,0.4234,45.53
564,0.131211,0.7125,0.5318,45.15
565,0.130912,0.7122,0.4906,45.24
566,0.131610,0.7120,0.4815,45.47
567,0.131524,0.7125,0.5026,45.47
568,0.131603,0.7123,0.5534,44.96
569,0.130625,0.7137,0.5118,45.10
570,0.130976,0.7134,0.4736,45.06
571,0.131047,0.7127,0.5489,45.20
572,0.130613,0.7126,0.4828,45.17
573,0.129670,0.7142,0.4425,45.04
574,0.130373,0.7138,0.5150,44.90
575,0.130707,0.7134,0.4491,45.15
576,0.131151,0.7125,0.4648,45.32
577,0.130679,0.7126,0.5358,45.37
578,0.130807,0.7132,0.5470,45.46
579,0.131293,0.7129,0.5329,46.02
580,0.130595,0.7130,0.4905,47.37
581,0.129982,0.7137,0.4643,45.50
582,0.131680,0.7125,0.5150,45.04
583,0.130566,0.7136,0.2891,45.36
584,0.129908,0.7143,0.4992,44.94
585,0.130982,0.7130,0.5200,45.21
586,0.130497,0.7132,0.3294,44.90
587,0.131396,0.7122,0.5519,45.39
588,0.130767,0.7127,0.4088,44.90
589,0.130801,0.7130,0.5339,45.13
590,0.130325,0.7133,0.4880,45.39
591,0.130748,0.7135,0.5519,45.33
592,0.130602,0.7129,0.5033,45.32
593,0.131012,0.7130,0.5382,45.22
594,0.130501,0.7140,0.5184,45.34
595,0.130585,0.7132,0.4641,45.33
596,0.130013,0.7141,0.5157,45.36
597,0.131654,0.7121,0.3616,44.94
598,0.130794,0.7126,0.3839,45.13
599,0.130373,0.7132,0.3219,44.94
600,0.131582,0.7131,0.4693,45.17
601,0.129991,0.7139,0.5487,44.88
602,0.129836,0.7145,0.5269,44.83
603,0.130033,0.7134,0.4533,44.93
604,0.130213,0.7136,0.5225,44.98
605,0.129278,0.7152,0.4505,44.90
606,0.130049,0.7140,0.4975,44.94
607,0.130690,0.7134,0.2689,44.92
608,0.131032,0.7134,0.4768,44.94
609,0.130267,0.7137,0.4812,46.00
610,0.130666,0.7133,0.5152,45.09
611,0.131338,0.7121,0.4619,45.14
612,0.129753,0.7141,0.3885,44.93
613,0.130706,0.7136,0.4750,44.98
614,0.130183,0.7132,0.4815,44.90
615,0.130513,0.7139,0.4546,44.92
616,0.130758,0.7131,0.5253,45.80
617,0.130465,0.7140,0.4932,45.36
618,0.130556,0.7139,0.5130,44.88
619,0.130427,0.7138,0.5347,44.90
620,0.131681,0.7126,0.4831,45.01
621,0.129653,0.7142,0.4932,44.98
622,0.130784,0.7136,0.3864,44.88
623,0.129878,0.7138,0.5139,44.92
624,0.130564,0.7136,0.4930,44.81
625,0.129804,0.7142,0.4617,44.83
626,0.130587,0.7136,0.4648,44.83
627,0.130900,0.7136,0.2338,44.80
628,0.130838,0.7132,0.4455,45.64
629,0.131445,0.7130,0.5205,44.83
630,0.131087,0.7126,0.4433,45.06
631,0.129510,0.7146,0.3705,45.85
632,0.130574,0.7132,0.3539,44.99
633,0.129971,0.7138,0.4990,44.90
634,0.130604,0.7134,0.4926,44.91
635,0.130172,0.7138,0.5059,44.99
636,0.130139,0.7142,0.4739,44.96
637,0.131230,0.7132,0.5150,45.02
638,0.130847,0.7136,0.4672,44.95
639,0.129748,0.7145,0.5148,45.00
640,0.130218,0.7139,0.4411,44.91
641,0.129927,0.7139,0.4904,44.90
642,0.129934,0.7142,0.5044,44.98
643,0.130035,0.7145,0.4553,44.87
644,0.130343,0.7137,0.3332,44.82
645,0.129415,0.7149,0.4468,44.80
646,0.129892,0.7143,0.5281,45.39
647,0.128850,0.7152,0.4845,45.14
648,0.130268,0.7139,0.5367,45.46
649,0.129423,0.7147,0.4895,44.79
650,0.129042,0.7154,0.4948,44.80
651,0.130112,0.7139,0.3868,44.87
652,0.129978,0.7141,0.5386,45.76
653,0.130980,0.7137,0.5485,44.80
654,0.129356,0.7152,0.5216,45.13
655,0.128862,0.7149,0.3455,45.08
656,0.130182,0.7140,0.4515,45.00
657,0.129671,0.7145,0.5154,44.97
658,0.129840,0.7141,0.4637,44.89
659,0.130026,0.7140,0.5608,44.80
660,0.128340,0.7156,0.5260,44.81
661,0.129174,0.7154,0.4848,45.21
662,0.129546,0.7145,0.5300,44.89
663,0.129618,0.7149,0.4418,44.87
664,0.128913,0.7155,0.5323,44.90
665,0.129796,0.7140,0.4041,44.90
666,0.129645,0.7150,0.5464,44.91
667,0.128972,0.7155,0.4405,44.99
668,0.130040,0.7141,0.5118,45.39
669,0.129893,0.7149,0.4220,45.15
670,0.129384,0.7148,0.4595,45.19
671,0.129965,0.7144,0.5244,44.96
672,0.128594,0.7160,0.4850,45.48
673,0.129037,0.7150,0.5504,45.13
674,0.128507,0.7160,0.4782,45.00
675,0.128000,0.7165,0.4015,45.87
676,0.129309,0.7157,0.4653,45.21
677,0.129820,0.7148,0.5061,44.93
678,0.129772,0.7147,0.5072,45.15
679,0.129900,0.7141,0.5542,45.84
680,0.129705,0.7155,0.5364,45.24
681,0.129096,0.7155,0.5203,45.30
682,0.129956,0.7146,0.4733,45.82
683,0.128434,0.7164,0.4701,45.31
684,0.129888,0.7147,0.5083,44.95
685,0.129843,0.7145,0.5230,44.91
686,0.129581,0.7146,0.5478,44.94
687,0.128786,0.7154,0.5116,45.09
688,0.129619,0.7150,0.4937,45.41
689,0.129342,0.7150,0.3902,45.22
690,0.129535,0.7149,0.4837,44.93
691,0.129742,0.7152,0.5361,45.16
692,0.128441,0.7155,0.4575,45.13
693,0.129694,0.7148,0.4346,45.22
694,0.128451,0.7164,0.4961,45.80
695,0.129516,0.7148,0.5431,45.51
696,0.128567,0.7156,0.4331,45.11
697,0.129399,0.7151,0.5483,45.15
698,0.128642,0.7159,0.5232,44.89
699,0.129777,0.7148,0.4198,45.02
700,0.128310,0.7164,0.3799,44.89
701,0.128634,0.7158,0.4919,44.86
702,0.129421,0.7148,0.4397,44.89
703,0.130115,0.7141,0.4266,44.96
704,0.129830,0.7142,0.4803,45.04
705,0.129631,0.7150,0.4146,45.02
706,0.128979,0.7155,0.4514,44.86
707,0.129318,0.7146,0.4635,45.06
708,0.128859,0.7156,0.5170,45.20
709,0.127912,0.7168,0.5006,44.91
710,0.129310,0.7152,0.5339,45.12
711,0.129812,0.7148,0.4964,45.30
712,0.128900,0.7153,0.4230,45.29
713,0.129013,0.7159,0.4631,45.45
714,0.128654,0.7163,0.3974,45.30
715,0.128834,0.7156,0.5214,45.04
716,0.128451,0.7161,0.4373,44.98
717,0.128195,0.7164,0.5075,45.06
718,0.128535,0.7164,0.4468,45.20
719,0.128877,0.7154,0.5265,45.27
720,0.129296,0.7152,0.4527,44.92
721,0.128824,0.7166,0.4505,45.26
722,0.128090,0.7164,0.4744,45.39
723,0.128512,0.7156,0.5155,45.07
724,0.130328,0.7141,0.5400,45.00
725,0.129021,0.7154,0.3899,45.08
726,0.128822,0.7160,0.4710,45.58
727,0.129774,0.7146,0.4408,44.79
728,0.128234,0.7168,0.4430,45.37
729,0.128838,0.7156,0.4176,45.02
730,0.129577,0.7149,0.3887,45.16
731,0.129857,0.7146,0.4583,45.28
732,0.128289,0.7161,0.4508,45.25
733,0.128277,0.7160,0.4649,45.06
734,0.128864,0.7154,0.4318,45.17
735,0.127684,0.7169,0.5031,45.12
736,0.129543,0.7145,0.4636,44.90
737,0.129758,0.7148,0.5486,45.26
738,0.128673,0.7160,0.5154,45.45
739,0.128232,0.7161,0.4748,45.18
740,0.127919,0.7169,0.5209,45.04
741,0.129843,0.7149,0.4129,45.15
742,0.127780,0.7165,0.5299,45.52
743,0.128117,0.7168,0.5418,45.40
744,0.128113,0.7167,0.3875,45.02
745,0.128397,0.7167,0.4895,44.97
746,0.128778,0.7162,0.4769,45.28
747,0.128546,0.7159,0.4841,45.26
748,0.129127,0.7151,0.5003,45.13
749,0.127907,0.7167,0.5439,44.88
750,0.129438,0.7151,0.5456,44.97
751,0.128540,0.7156,0.4692,45.14
752,0.128833,0.7158,0.4856,45.01
753,0.128699,0.7157,0.5131,45.13
754,0.129143,0.7158,0.5241,45.14
755,0.128833,0.7159,0.3310,45.25
756,0.129602,0.7145,0.4250,45.15
757,0.129651,0.7149,0.4707,45.22
758,0.127883,0.7165,0.5303,45.04
759,0.129499,0.7147,0.4951,45.31
760,0.129070,0.7162,0.4792,45.02
761,0.127200,0.7177,0.5442,44.88
762,0.127816,0.7167,0.4429,44.96
763,0.128470,0.7159,0.4508,45.18
764,0.129001,0.7157,0.4878,44.90
765,0.128691,0.7161,0.4597,44.93
766,0.128451,0.7165,0.2758,44.91
767,0.128140,0.7166,0.4765,44.91
768,0.129328,0.7152,0.5380,45.22
769,0.128302,0.7168,0.5240,45.33
770,0.128331,0.7161,0.5030,45.02
771,0.128969,0.7155,0.5114,44.96
772,0.129102,0.7149,0.5253,45.25
773,0.128683,0.7162,0.4580,44.86
774,0.129142,0.7153,0.4723,44.94
775,0.128647,0.7162,0.4463,45.09
776,0.128507,0.7158,0.5418,44.94
777,0.127888,0.7162,0.5136,44.93
778,0.127680,0.7167,0.4727,44.91
779,0.128216,0.7162,0.4246,44.94
780,0.128070,0.7171,0.5150,44.92
781,0.129176,0.7154,0.4994,44.99
782,0.127796,0.7172,0.5285,44.89
783,0.128745,0.7157,0.5356,44.89
784,0.129015,0.7163,0.4739,44.88
785,0.128037,0.7169,0.5217,44.93
786,0.127925,0.7164,0.3800,44.88
787,0.128770,0.7159,0.5448,44.98
788,0.127729,0.7170,0.4989,44.94
789,0.128380,0.7161,0.5135,45.12
790,0.129654,0.7151,0.2362,45.24
791,0.128286,0.7162,0.3585,45.26
792,0.127540,0.7171,0.4696,45.26
793,0.128382,0.7162,0.5225,45.23
794,0.129359,0.7154,0.4342,45.15
795,0.129476,0.7145,0.4932,45.16
796,0.129950,0.7142,0.5607,45.63
797,0.129955,0.7147,0.5275,45.18
798,0.129199,0.7156,0.4598,45.29
799,0.128162,0.7165,0.5236,45.92
800,0.128336,0.7163,0.4656,45.90
801,0.127576,0.7174,0.5165,45.16
802,0.128179,0.7166,0.3986,45.43
803,0.128202,0.7161,0.4806,45.09
804,0.128601,0.7157,0.4391,45.67
805,0.128119,0.7164,0.5049,45.96
806,0.128850,0.7157,0.5240,45.16
807,0.128653,0.7162,0.4846,44.90
808,0.128914,0.7161,0.3972,44.96
809,0.128361,0.7161,0.4936,45.08
810,0.128006,0.7167,0.3969,45.01
811,0.127950,0.7173,0.4912,45.13
812,0.128467,0.7165,0.4887,44.98
813,0.128143,0.7167,0.4726,44.90
814,0.127718,0.7166,0.5242,45.00
815,0.128132,0.7158,0.4066,44.94
816,0.127815,0.7171,0.4790,44.85
817,0.128303,0.7158,0.5586,45.06
818,0.128372,0.7162,0.5185,44.89
819,0.127733,0.7170,0.4017,45.33
820,0.128478,0.7161,0.5123,44.83
821,0.128590,0.7165,0.5323,44.85
822,0.127960,0.7166,0.4903,44.85
823,0.128893,0.7152,0.5048,44.83
824,0.127918,0.7172,0.5259,44.84
825,0.126507,0.7184,0.5055,44.79
826,0.128031,0.7163,0.5403,45.03
827,0.127433,0.7171,0.5281,45.05
828,0.128650,0.7163,0.5168,44.89
829,0.128368,0.7163,0.4110,45.08
830,0.127302,0.7173,0.4887,45.22
831,0.127920,0.7167,0.5212,45.19
832,0.128280,0.7167,0.5140,45.04
833,0.128309,0.7162,0.5035,45.48
834,0.127914,0.7169,0.5439,45.55
835,0.128358,0.7165,0.4673,44.96
836,0.128948,0.7154,0.4741,45.19
