Epoch,IOU_Train,IOU_Val
0,0.5250,0.5543
1,0.5581,0.5331
2,0.5716,0.5436
3,0.5798,0.5005
4,0.5866,0.3819
5,0.5890,0.5245
6,0.5953,0.5337
7,0.5993,0.5158
8,0.6050,0.4480
9,0.6067,0.5581
10,0.6101,0.5061
11,0.6124,0.4443
12,0.6153,0.5089
13,0.6189,0.4524
14,0.6211,0.4619
15,0.6222,0.5495
16,0.6237,0.4674
17,0.6252,0.4991
18,0.6277,0.3842
19,0.6279,0.4005
20,0.6296,0.5419
21,0.6306,0.4771
22,0.6340,0.4734
23,0.6363,0.5326
24,0.6365,0.3980
25,0.6373,0.4807
26,0.6394,0.4524
27,0.6408,0.3632
28,0.6409,0.4661
29,0.6423,0.4884
30,0.6440,0.4770
31,0.6460,0.4497
32,0.6456,0.4844
33,0.6475,0.4950
34,0.6479,0.4085
35,0.6494,0.5036
36,0.6488,0.4947
37,0.6526,0.4298
38,0.6535,0.5128
39,0.6534,0.5026
40,0.6544,0.4596
41,0.6556,0.5152
42,0.6566,0.5487
43,0.6563,0.4901
44,0.6574,0.4646
45,0.6585,0.5191
46,0.6588,0.4382
47,0.6610,0.4730
48,0.6624,0.5049
49,0.6608,0.5075
50,0.6621,0.4113
51,0.6638,0.4464
52,0.6636,0.5104
53,0.6647,0.5244
54,0.6651,0.5138
55,0.6650,0.4073
56,0.6678,0.5215
57,0.6658,0.3655
58,0.6675,0.4080
59,0.6694,0.4657
60,0.6690,0.4332
61,0.6687,0.5077
62,0.6682,0.5302
63,0.6707,0.5086
64,0.6715,0.4709
65,0.6717,0.4842
66,0.6721,0.3985
67,0.6729,0.5166
68,0.6721,0.4593
69,0.6749,0.4632
70,0.6735,0.4811
71,0.6732,0.4291
72,0.6763,0.5406
73,0.6751,0.3755
74,0.6766,0.4253
75,0.6758,0.4867
76,0.6765,0.3948
77,0.6778,0.4537
78,0.6789,0.5004
79,0.6776,0.5271
80,0.6776,0.4911
81,0.6779,0.4448
82,0.6790,0.4660
83,0.6774,0.4934
84,0.6798,0.5325
85,0.6813,0.5013
86,0.6799,0.5141
87,0.6814,0.5229
88,0.6822,0.4500
89,0.6827,0.4813
90,0.6817,0.3123
91,0.6827,0.5385
92,0.6829,0.4189
93,0.6853,0.5092
94,0.6836,0.4026
95,0.6848,0.4437
96,0.6835,0.3944
97,0.6850,0.4790
98,0.6839,0.5537
99,0.6862,0.3543
100,0.6844,0.3996
101,0.6857,0.4952
102,0.6880,0.4612
103,0.6857,0.4778
104,0.6873,0.4565
105,0.6869,0.4348
106,0.6887,0.5201
107,0.6892,0.4599
108,0.6875,0.4352
