epoch 97 loss: 0.21486446186900138, elapse time: 5.757330417633057
epoch 98 loss: 0.20951291397213936, elapse time: 5.7649571895599365
epoch 99 loss: 0.21437886953353882, elapse time: 5.77201247215271
epoch 100 loss: 0.2083527497947216, elapse time: 5.749340772628784
epoch 101 loss: 0.20800424069166185, elapse time: 5.774107456207275
epoch 102 loss: 0.20554213598370552, elapse time: 5.761868000030518
epoch 103 loss: 0.20289981365203857, elapse time: 5.77208137512207
epoch 104 loss: 0.20537869185209273, elapse time: 5.770120143890381
epoch 105 loss: 0.20724281147122384, elapse time: 5.75322151184082
epoch 106 loss: 0.20772139355540276, elapse time: 5.764210224151611
epoch 107 loss: 0.20487396866083146, elapse time: 5.766541242599487
epoch 108 loss: 0.20484878048300742, elapse time: 5.745656251907349
epoch 109 loss: 0.20844743102788926, elapse time: 5.748346567153931
epoch 110 loss: 0.20544007793068886, elapse time: 5.760606527328491
epoch 111 loss: 0.2030310295522213, elapse time: 5.77425479888916
epoch 112 loss: 0.20369330421090126, elapse time: 5.759967565536499
epoch 113 loss: 0.20146922320127486, elapse time: 5.748445749282837
epoch 114 loss: 0.20182451978325844, elapse time: 5.776212453842163
epoch 115 loss: 0.20196012184023857, elapse time: 5.771203994750977
epoch 116 loss: 0.20163245499134064, elapse time: 5.758965492248535
epoch 117 loss: 0.2003896191716194, elapse time: 5.776134729385376
epoch 118 loss: 0.20278099551796913, elapse time: 5.754447937011719
epoch 119 loss: 0.20430100783705712, elapse time: 5.7421791553497314
epoch 120 loss: 0.20100547671318053, elapse time: 5.764586925506592
epoch 121 loss: 0.19790272787213326, elapse time: 5.745361089706421
epoch 122 loss: 0.19976663514971732, elapse time: 5.744932174682617
epoch 123 loss: 0.2040500044822693, elapse time: 5.7464516162872314
epoch 124 loss: 0.20123310312628745, elapse time: 5.761526823043823
epoch 125 loss: 0.20333337411284447, elapse time: 5.758874416351318
epoch 126 loss: 0.197812769562006, elapse time: 5.753735303878784
epoch 127 loss: 0.19816819131374358, elapse time: 5.770282030105591
epoch 128 loss: 0.19851287305355073, elapse time: 5.762831211090088
epoch 129 loss: 0.19595395997166634, elapse time: 5.762786149978638
epoch 130 loss: 0.1977966010570526, elapse time: 5.773316144943237
epoch 131 loss: 0.1972892701625824, elapse time: 5.752816677093506
epoch 132 loss: 0.19798435643315315, elapse time: 5.769442558288574
epoch 133 loss: 0.19774145036935806, elapse time: 5.754932880401611
epoch 134 loss: 0.195130867511034, elapse time: 5.763005018234253
epoch 135 loss: 0.19597956240177156, elapse time: 5.75936222076416
epoch 136 loss: 0.19684408828616143, elapse time: 5.757188320159912
epoch 137 loss: 0.19361231625080108, elapse time: 5.754957437515259
epoch 138 loss: 0.1940883755683899, elapse time: 5.759034872055054
epoch 139 loss: 0.19686998277902604, elapse time: 5.754596948623657
epoch 140 loss: 0.1957065224647522, elapse time: 5.764441967010498
epoch 141 loss: 0.19603938981890678, elapse time: 5.748637437820435
epoch 142 loss: 0.1932145282626152, elapse time: 5.771894216537476
epoch 143 loss: 0.195267703384161, elapse time: 5.762154579162598
epoch 144 loss: 0.19572978764772414, elapse time: 5.756618499755859
epoch 145 loss: 0.1956560917198658, elapse time: 5.75553560256958
epoch 146 loss: 0.19401673898100852, elapse time: 5.7486491203308105
epoch 147 loss: 0.19822347834706305, elapse time: 5.762519359588623
epoch 148 loss: 0.19907538443803788, elapse time: 5.761391639709473
epoch 149 loss: 0.1933269463479519, elapse time: 5.7552409172058105
epoch 150 loss: 0.19360724315047265, elapse time: 5.757476568222046
epoch 151 loss: 0.19436452388763428, elapse time: 5.756940126419067
epoch 152 loss: 0.19412792548537255, elapse time: 5.752776861190796
epoch 153 loss: 0.1956436239182949, elapse time: 5.744559288024902
epoch 154 loss: 0.19754769206047057, elapse time: 5.760070085525513
epoch 155 loss: 0.19595098495483398, elapse time: 5.7353925704956055
epoch 156 loss: 0.19642612859606742, elapse time: 5.761702537536621
epoch 157 loss: 0.19435859099030495, elapse time: 5.7600860595703125
epoch 158 loss: 0.1914762534201145, elapse time: 5.753577709197998
epoch 159 loss: 0.19527507051825524, elapse time: 5.762869358062744
epoch 160 loss: 0.1911066383123398, elapse time: 5.779148578643799
epoch 161 loss: 0.19374967962503434, elapse time: 5.7640135288238525
epoch 162 loss: 0.19629850685596467, elapse time: 5.7592597007751465
epoch 163 loss: 0.19516340345144273, elapse time: 5.759031534194946
epoch 164 loss: 0.19519753456115724, elapse time: 5.761539936065674
epoch 165 loss: 0.19009581282734872, elapse time: 5.764033317565918
epoch 166 loss: 0.19158099517226218, elapse time: 5.756237030029297
epoch 167 loss: 0.188877435028553, elapse time: 5.767829179763794
epoch 168 loss: 0.19132405519485474, elapse time: 5.760579347610474
epoch 169 loss: 0.19174764007329942, elapse time: 5.767305135726929
epoch 170 loss: 0.19154470935463905, elapse time: 5.753164052963257
epoch 171 loss: 0.19114249125123023, elapse time: 5.750074625015259
epoch 172 loss: 0.1898549824953079, elapse time: 5.756194591522217
epoch 173 loss: 0.1903826914727688, elapse time: 5.767534494400024
epoch 174 loss: 0.1904502272605896, elapse time: 5.7611799240112305
epoch 175 loss: 0.19310125783085824, elapse time: 5.753432989120483
epoch 176 loss: 0.18749132752418518, elapse time: 5.755218029022217
epoch 177 loss: 0.18745859041810037, elapse time: 5.766800165176392
epoch 178 loss: 0.19006182849407197, elapse time: 5.88244891166687
epoch 179 loss: 0.19045299291610718, elapse time: 5.955160856246948
epoch 180 loss: 0.1897800609469414, elapse time: 5.767329931259155
epoch 181 loss: 0.19302982836961746, elapse time: 5.7680723667144775
epoch 182 loss: 0.1929614193737507, elapse time: 5.743647813796997
epoch 183 loss: 0.19129854068160057, elapse time: 5.773588418960571
epoch 184 loss: 0.1929921679198742, elapse time: 5.775313138961792
epoch 185 loss: 0.18889464661478997, elapse time: 5.767430543899536
epoch 186 loss: 0.18832659721374512, elapse time: 5.771763801574707
epoch 187 loss: 0.18498573079705238, elapse time: 5.751673698425293
epoch 188 loss: 0.18539340570569038, elapse time: 5.760010719299316
epoch 189 loss: 0.18609623089432717, elapse time: 5.766248464584351
epoch 190 loss: 0.18673356845974923, elapse time: 5.781609535217285
epoch 191 loss: 0.18910541385412216, elapse time: 5.757641553878784
epoch 192 loss: 0.18947863951325417, elapse time: 5.761300563812256
epoch 193 loss: 0.18933884650468827, elapse time: 5.755385637283325
epoch 194 loss: 0.18610060438513756, elapse time: 5.758132457733154
epoch 195 loss: 0.18720009475946425, elapse time: 5.770420551300049
epoch 196 loss: 0.18352737799286842, elapse time: 5.768441438674927
epoch 197 loss: 0.1861122578382492, elapse time: 5.763687372207642
epoch 198 loss: 0.1883786492049694, elapse time: 5.765630483627319
epoch 199 loss: 0.18993105217814446, elapse time: 5.766825914382935
epoch 200 loss: 0.18763165250420571, elapse time: 5.743219375610352
epoch 201 loss: 0.18356048539280892, elapse time: 5.767570495605469
epoch 202 loss: 0.1842704363167286, elapse time: 5.771738529205322
epoch 203 loss: 0.18279534429311753, elapse time: 5.768593788146973
epoch 204 loss: 0.18329629451036453, elapse time: 5.756832838058472
epoch 205 loss: 0.1877075254917145, elapse time: 5.752243518829346
epoch 206 loss: 0.18272988721728325, elapse time: 5.75714635848999
epoch 207 loss: 0.18408651426434516, elapse time: 5.769630193710327
epoch 208 loss: 0.18766212984919547, elapse time: 5.7748472690582275
epoch 209 loss: 0.1880636177957058, elapse time: 5.760621547698975
epoch 210 loss: 0.18726870715618132, elapse time: 5.765445947647095
epoch 211 loss: 0.18369773477315904, elapse time: 5.775290250778198
epoch 212 loss: 0.17993440702557564, elapse time: 5.768478155136108
epoch 213 loss: 0.18279428258538247, elapse time: 5.770066022872925
epoch 214 loss: 0.18359100073575974, elapse time: 5.766879558563232
epoch 215 loss: 0.18576231226325035, elapse time: 5.76141619682312
epoch 216 loss: 0.18554655462503433, elapse time: 5.77541971206665
epoch 217 loss: 0.1846793234348297, elapse time: 5.779051303863525
epoch 218 loss: 0.18258741199970246, elapse time: 5.7517335414886475
epoch 219 loss: 0.18452039808034898, elapse time: 5.746657371520996
epoch 220 loss: 0.18113104179501532, elapse time: 5.783547878265381
epoch 221 loss: 0.1815253771841526, elapse time: 5.771327495574951
epoch 222 loss: 0.18789523467421532, elapse time: 5.754575252532959
epoch 223 loss: 0.18279129415750503, elapse time: 5.77776312828064
epoch 224 loss: 0.17966123819351196, elapse time: 5.772030591964722
epoch 225 loss: 0.18355976790189743, elapse time: 5.762305021286011
epoch 226 loss: 0.18504139110445977, elapse time: 5.766785383224487
epoch 227 loss: 0.1832020863890648, elapse time: 5.753656625747681
epoch 228 loss: 0.18091209828853608, elapse time: 5.755170106887817
epoch 229 loss: 0.18300846815109253, elapse time: 5.763988256454468
epoch 230 loss: 0.18372925445437432, elapse time: 5.760191202163696
epoch 231 loss: 0.1827347233891487, elapse time: 5.753676176071167
epoch 232 loss: 0.1812890090048313, elapse time: 5.759420394897461
epoch 233 loss: 0.18136745393276216, elapse time: 5.754349946975708
