Epoch,IOU_Train,IOU_Val
5,0.5880,0.4651
6,0.5914,0.5062
7,0.5950,0.5279
8,0.5990,0.5333
9,0.6022,0.3562
10,0.6072,0.4257
11,0.6102,0.4668
12,0.6124,0.5061
13,0.6154,0.4224
14,0.6169,0.5413
15,0.6203,0.5081
16,0.6229,0.3876
17,0.6239,0.5449
18,0.6273,0.5041
19,0.6298,0.4034
20,0.6313,0.4195
21,0.6315,0.5178
22,0.6331,0.3683
23,0.6370,0.4651
24,0.6366,0.3180
25,0.6387,0.3323
26,0.6408,0.4396
27,0.6417,0.5306
28,0.6435,0.4251
29,0.6460,0.4603
30,0.6479,0.4145
31,0.6496,0.5030
32,0.6488,0.5340
33,0.6520,0.4583
34,0.6527,0.4637
35,0.6551,0.4294
36,0.6557,0.4337
37,0.6563,0.4614
38,0.6579,0.4335
39,0.6603,0.4518
40,0.6604,0.4373
41,0.6619,0.4337
42,0.6626,0.2683
43,0.6640,0.3718
44,0.6644,0.3222
45,0.6666,0.3287
46,0.6664,0.4942
47,0.6683,0.4955
48,0.6695,0.4678
49,0.6687,0.4556
50,0.6709,0.2682
51,0.6711,0.4659
52,0.6736,0.4541
53,0.6722,0.3382
54,0.6752,0.4720
55,0.6767,0.4513
56,0.6751,0.4371
57,0.6760,0.5250
58,0.6778,0.3698
59,0.6782,0.4559
60,0.6785,0.4865
61,0.6806,0.3457
62,0.6802,0.3943
63,0.6803,0.5412
64,0.6816,0.4018
65,0.6827,0.5003
66,0.6822,0.5040
67,0.6822,0.4210
68,0.6839,0.4087
69,0.6848,0.4691
70,0.6843,0.4584
71,0.6851,0.4624
72,0.6851,0.4356
73,0.6862,0.5266
74,0.6867,0.4116
75,0.6868,0.5126
76,0.6875,0.4292
77,0.6888,0.4148
78,0.6896,0.5301
79,0.6907,0.4421
80,0.6893,0.3409
81,0.6901,0.4304
82,0.6896,0.4053
83,0.6911,0.4685
84,0.6913,0.3429
85,0.6917,0.4475
86,0.6927,0.3841
87,0.6920,0.3581
88,0.6938,0.4260
89,0.6937,0.2831
90,0.6940,0.4725
91,0.6937,0.3116
92,0.6945,0.4120
93,0.6947,0.3679
94,0.6954,0.4706
95,0.6965,0.4670
96,0.6961,0.4180
97,0.6973,0.4883
98,0.6967,0.3564
99,0.6967,0.4762
100,0.6980,0.5094
101,0.6981,0.4950
102,0.6985,0.4132
103,0.6991,0.4509
104,0.6988,0.3964
105,0.7003,0.5201
106,0.7004,0.4544
107,0.7009,0.4821
108,0.7015,0.4832
109,0.7013,0.5016
110,0.7006,0.4232
111,0.7019,0.3958
112,0.7028,0.4129
113,0.7028,0.3576
114,0.7033,0.5123
115,0.7031,0.4154
116,0.7034,0.3357
117,0.7030,0.5238
118,0.7049,0.4663
119,0.7045,0.4994
120,0.7041,0.5131
121,0.7048,0.4900
122,0.7046,0.5434
123,0.7058,0.4696
124,0.7055,0.5550
125,0.7060,0.5348
126,0.7066,0.5487
127,0.7076,0.4496
128,0.7055,0.3723
129,0.7080,0.4606
130,0.7087,0.2750
131,0.7082,0.3712
132,0.7081,0.3845
133,0.7082,0.4740
134,0.7090,0.4503
135,0.7091,0.4508
136,0.7088,0.4811
137,0.7094,0.4345
138,0.7095,0.4825
139,0.7102,0.4408
140,0.7097,0.2833
141,0.7104,0.4093
142,0.7113,0.3904
143,0.7115,0.3458
144,0.7105,0.2540
145,0.7116,0.4851
146,0.7115,0.3975
147,0.7121,0.4074
148,0.7124,0.4265
149,0.7116,0.4140
150,0.7131,0.3782
151,0.7126,0.3438
152,0.7126,0.4550
153,0.7131,0.5141
154,0.7137,0.5047
155,0.7138,0.4746
156,0.7135,0.4289
157,0.7137,0.3512
158,0.7152,0.2024
159,0.7137,0.4671
160,0.7155,0.4576
161,0.7143,0.4647
162,0.7145,0.2777
163,0.7154,0.3007
164,0.7162,0.4374
165,0.7158,0.5184
166,0.7169,0.4162
167,0.7161,0.5044
168,0.7170,0.3751
169,0.7166,0.3342
170,0.7166,0.4385
171,0.7174,0.2844
172,0.7172,0.3466
173,0.7173,0.3011
174,0.7168,0.4779
175,0.7180,0.3975
176,0.7175,0.3804
177,0.7174,0.2287
178,0.7183,0.3540
179,0.7186,0.3915
180,0.7188,0.2356
181,0.7189,0.3560
182,0.7184,0.3053
183,0.7196,0.3327
184,0.7193,0.4963
185,0.7183,0.4797
186,0.7195,0.3434
187,0.7196,0.3835
188,0.7189,0.4442
189,0.7196,0.4717
190,0.7205,0.3846
191,0.7199,0.5261
192,0.7201,0.4601
193,0.7202,0.4776
194,0.7210,0.4683
195,0.7204,0.2967
196,0.7216,0.4771
197,0.7217,0.2984
198,0.7218,0.5002
199,0.7210,0.3880
200,0.7216,0.4049
201,0.7214,0.3996
202,0.7227,0.4395
203,0.7216,0.5133
204,0.7221,0.4604
205,0.7221,0.4512
206,0.7220,0.3749
207,0.7214,0.4429
208,0.7226,0.5010
209,0.7223,0.4315
210,0.7214,0.3527
211,0.7224,0.3905
212,0.7226,0.3328
213,0.7223,0.5302
214,0.7227,0.3958
215,0.7226,0.4850
216,0.7233,0.4343
217,0.7228,0.4372
218,0.7227,0.4710
219,0.7234,0.5033
220,0.7237,0.2726
221,0.7238,0.4736
222,0.7247,0.3769
223,0.7234,0.3560
224,0.7240,0.3851
225,0.7245,0.4470
226,0.7220,0.4293
227,0.7246,0.2990
228,0.7249,0.3376
229,0.7252,0.4160
230,0.7252,0.2602
231,0.7249,0.2640
232,0.7246,0.4891
233,0.7247,0.2873
234,0.7243,0.3702
235,0.7240,0.3234
236,0.7251,0.3312
237,0.7250,0.3231
238,0.7259,0.4573
239,0.7255,0.3782
240,0.7263,0.3843
241,0.7253,0.3979
242,0.7266,0.4697
243,0.7264,0.4062
244,0.7265,0.2579
245,0.7261,0.3339
246,0.7270,0.2727
247,0.7259,0.4401
248,0.7270,0.3770
249,0.7268,0.3216
250,0.7268,0.3886
251,0.7266,0.3518
252,0.7270,0.3089
253,0.7260,0.4538
254,0.7277,0.2998
255,0.7281,0.3775
256,0.7268,0.3902
257,0.7270,0.4309
258,0.7272,0.2733
259,0.7274,0.5018
260,0.7274,0.4816
261,0.7271,0.5290
262,0.7280,0.4807
263,0.7277,0.4418
264,0.7278,0.4599
265,0.7284,0.4303
266,0.7287,0.3271
267,0.7278,0.4383
268,0.7280,0.2831
269,0.7282,0.3544
270,0.7274,0.3345
271,0.7294,0.4250
272,0.7285,0.3585
273,0.7283,0.4786
274,0.7286,0.3529
275,0.7286,0.4928
276,0.7298,0.3701
277,0.7294,0.3986
278,0.7292,0.5311
279,0.7292,0.3733
280,0.7293,0.3323
281,0.7296,0.2887
282,0.7297,0.2927
283,0.7288,0.4368
284,0.7296,0.4591
285,0.7301,0.3242
286,0.7294,0.4193
