Epoch,Loss,IOU_Train,IOU_Val,Time
5,0.265256,0.5880,0.4651,94.38
6,0.259001,0.5914,0.5062,94.75
7,0.252335,0.5950,0.5279,95.65
8,0.246031,0.5990,0.5333,94.76
9,0.242884,0.6022,0.3562,97.33
10,0.235967,0.6072,0.4257,95.37
11,0.230758,0.6102,0.4668,94.79
12,0.227235,0.6124,0.5061,94.56
13,0.223864,0.6154,0.4224,94.67
14,0.221204,0.6169,0.5413,94.39
15,0.217730,0.6203,0.5081,94.81
16,0.213836,0.6229,0.3876,94.55
17,0.211838,0.6239,0.5449,95.18
18,0.208292,0.6273,0.5041,95.08
19,0.204820,0.6298,0.4034,89.74
20,0.203314,0.6313,0.4195,89.75
21,0.201471,0.6315,0.5178,90.84
22,0.199934,0.6331,0.3683,90.95
23,0.195908,0.6370,0.4651,92.90
24,0.195925,0.6366,0.3180,90.93
25,0.193976,0.6387,0.3323,90.97
26,0.192292,0.6408,0.4396,90.85
27,0.191154,0.6417,0.5306,90.18
28,0.188124,0.6435,0.4251,90.45
29,0.186678,0.6460,0.4603,90.31
30,0.183402,0.6479,0.4145,90.04
31,0.182283,0.6496,0.5030,94.59
32,0.181540,0.6488,0.5340,89.67
33,0.179879,0.6520,0.4583,89.70
34,0.178280,0.6527,0.4637,89.78
35,0.176956,0.6551,0.4294,90.25
36,0.175966,0.6557,0.4337,90.64
37,0.175307,0.6563,0.4614,89.91
38,0.172953,0.6579,0.4335,90.85
39,0.171405,0.6603,0.4518,90.06
40,0.170971,0.6604,0.4373,90.70
41,0.170942,0.6619,0.4337,91.51
42,0.169211,0.6626,0.2683,90.11
43,0.167852,0.6640,0.3718,90.44
44,0.167937,0.6644,0.3222,91.51
45,0.165438,0.6666,0.3287,90.56
46,0.165526,0.6664,0.4942,90.43
47,0.163690,0.6683,0.4955,89.87
48,0.163129,0.6695,0.4678,92.25
49,0.163645,0.6687,0.4556,90.66
50,0.161859,0.6709,0.2682,90.15
51,0.161687,0.6711,0.4659,90.14
52,0.159493,0.6736,0.4541,89.93
53,0.161173,0.6722,0.3382,89.94
54,0.157872,0.6752,0.4720,90.98
55,0.157255,0.6767,0.4513,91.01
56,0.158501,0.6751,0.4371,89.80
57,0.156810,0.6760,0.5250,89.93
58,0.156096,0.6778,0.3698,91.19
59,0.155429,0.6782,0.4559,90.67
60,0.155234,0.6785,0.4865,90.81
61,0.153873,0.6806,0.3457,90.38
62,0.153845,0.6802,0.3943,91.20
63,0.154088,0.6803,0.5412,90.56
64,0.152928,0.6816,0.4018,90.14
65,0.151763,0.6827,0.5003,90.70
66,0.152294,0.6822,0.5040,90.24
67,0.151886,0.6822,0.4210,91.14
68,0.150722,0.6839,0.4087,90.65
69,0.149676,0.6848,0.4691,90.16
70,0.150514,0.6843,0.4584,90.81
71,0.149603,0.6851,0.4624,90.50
72,0.149838,0.6851,0.4356,90.04
73,0.148847,0.6862,0.5266,89.88
74,0.148603,0.6867,0.4116,90.03
75,0.148758,0.6868,0.5126,90.07
76,0.147853,0.6875,0.4292,90.59
77,0.147088,0.6888,0.4148,90.48
78,0.146311,0.6896,0.5301,90.42
79,0.145330,0.6907,0.4421,90.97
80,0.146453,0.6893,0.3409,91.24
81,0.146131,0.6901,0.4304,91.16
82,0.146284,0.6896,0.4053,90.53
83,0.144544,0.6911,0.4685,91.86
84,0.144772,0.6913,0.3429,90.53
85,0.144918,0.6917,0.4475,90.14
86,0.143715,0.6927,0.3841,91.09
87,0.144793,0.6920,0.3581,90.95
88,0.142735,0.6938,0.4260,90.54
89,0.142639,0.6937,0.2831,90.04
90,0.142783,0.6940,0.4725,90.47
91,0.143222,0.6937,0.3116,90.56
92,0.142284,0.6945,0.4120,92.31
93,0.142105,0.6947,0.3679,90.01
94,0.141699,0.6954,0.4706,90.25
95,0.140674,0.6965,0.4670,89.76
96,0.141133,0.6961,0.4180,89.70
97,0.140176,0.6973,0.4883,91.34
98,0.140453,0.6967,0.3564,90.22
99,0.140100,0.6967,0.4762,91.56
100,0.139581,0.6980,0.5094,90.42
101,0.139645,0.6981,0.4950,90.13
102,0.139345,0.6985,0.4132,90.41
103,0.138840,0.6991,0.4509,90.63
104,0.138889,0.6988,0.3964,89.95
105,0.137795,0.7003,0.5201,89.73
106,0.137379,0.7004,0.4544,89.79
107,0.137195,0.7009,0.4821,90.47
108,0.137130,0.7015,0.4832,90.81
109,0.136946,0.7013,0.5016,90.55
110,0.137328,0.7006,0.4232,90.75
111,0.136866,0.7019,0.3958,90.68
112,0.135843,0.7028,0.4129,90.24
113,0.136146,0.7028,0.3576,90.77
114,0.135597,0.7033,0.5123,91.11
115,0.135709,0.7031,0.4154,90.83
116,0.135451,0.7034,0.3357,90.66
117,0.135523,0.7030,0.5238,90.55
118,0.134464,0.7049,0.4663,90.65
119,0.134547,0.7045,0.4994,91.02
120,0.135173,0.7041,0.5131,90.11
121,0.134277,0.7048,0.4900,90.30
122,0.134593,0.7046,0.5434,90.75
123,0.133435,0.7058,0.4696,90.14
124,0.133837,0.7055,0.5550,91.23
125,0.133747,0.7060,0.5348,90.33
126,0.133033,0.7066,0.5487,90.18
127,0.132471,0.7076,0.4496,90.21
128,0.134175,0.7055,0.3723,91.03
129,0.132169,0.7080,0.4606,90.18
130,0.131476,0.7087,0.2750,91.77
131,0.131951,0.7082,0.3712,93.54
