Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.380115,0.5210,0.5484,87.12
1,0.337331,0.5526,0.5196,85.95
2,0.320064,0.5629,0.5554,86.29
3,0.308140,0.5675,0.4447,86.15
4,0.298461,0.5749,0.5294,84.81
5,0.290878,0.5783,0.4030,80.65
6,0.283561,0.5814,0.5530,81.22
7,0.276537,0.5849,0.5244,81.78
8,0.272165,0.5875,0.5219,82.30
9,0.266525,0.5889,0.5490,81.21
10,0.262119,0.5930,0.5420,81.34
11,0.259678,0.5951,0.5389,80.86
12,0.253059,0.5983,0.4715,82.17
13,0.252254,0.5983,0.5285,81.45
14,0.249324,0.5999,0.4837,81.48
15,0.246850,0.6020,0.4982,81.49
16,0.244153,0.6051,0.4916,80.79
17,0.241310,0.6065,0.5443,82.05
18,0.237900,0.6082,0.5565,80.71
19,0.238013,0.6072,0.5217,81.10
20,0.234872,0.6091,0.5551,80.85
21,0.232884,0.6106,0.5056,80.55
22,0.232495,0.6107,0.5028,81.11
23,0.228604,0.6134,0.5522,81.03
24,0.228268,0.6141,0.5040,81.63
25,0.225009,0.6171,0.5264,81.26
26,0.224727,0.6171,0.5404,81.37
27,0.222625,0.6199,0.5507,83.15
28,0.222486,0.6191,0.4669,80.96
29,0.221551,0.6198,0.5259,81.04
30,0.218611,0.6207,0.4580,81.36
31,0.219338,0.6218,0.5312,80.57
32,0.215724,0.6234,0.5053,81.13
33,0.216042,0.6241,0.4727,81.01
34,0.214348,0.6251,0.5587,81.10
35,0.212287,0.6263,0.5293,81.18
36,0.211930,0.6266,0.5280,80.71
37,0.213191,0.6265,0.5387,81.41
38,0.211329,0.6287,0.4261,82.27
39,0.209710,0.6283,0.5584,81.15
40,0.207862,0.6296,0.5328,81.61
41,0.208595,0.6299,0.4867,81.55
42,0.208354,0.6299,0.5324,81.88
43,0.205871,0.6315,0.5475,81.35
44,0.206204,0.6306,0.5040,81.11
45,0.203796,0.6332,0.4843,80.49
46,0.203487,0.6332,0.5234,80.52
47,0.202714,0.6345,0.4461,80.46
48,0.202184,0.6350,0.5552,81.27
49,0.202357,0.6339,0.5441,80.93
50,0.201187,0.6353,0.3905,80.72
51,0.199748,0.6351,0.5355,81.55
52,0.200753,0.6360,0.4953,81.38
53,0.199332,0.6361,0.5170,81.23
54,0.198629,0.6381,0.4741,81.45
55,0.196903,0.6384,0.4915,81.35
56,0.197376,0.6386,0.5511,81.26
57,0.197069,0.6391,0.5575,80.46
58,0.194562,0.6406,0.4668,81.06
59,0.195282,0.6398,0.5120,81.48
60,0.195700,0.6413,0.5074,81.67
61,0.194643,0.6417,0.3249,80.97
62,0.193079,0.6416,0.5370,81.32
63,0.193670,0.6422,0.4650,81.47
64,0.192714,0.6429,0.5355,80.49
65,0.191527,0.6438,0.5323,80.97
66,0.191560,0.6434,0.5299,81.49
67,0.190429,0.6443,0.5186,81.85
68,0.187970,0.6457,0.5141,80.71
69,0.191132,0.6431,0.5531,80.54
70,0.188849,0.6458,0.5287,80.76
71,0.188575,0.6460,0.5212,80.48
72,0.187274,0.6472,0.5496,80.53
73,0.188507,0.6463,0.5263,80.52
74,0.187088,0.6478,0.5395,80.38
75,0.186991,0.6477,0.4940,80.58
76,0.185798,0.6482,0.4685,80.44
77,0.186871,0.6470,0.5608,81.02
78,0.185228,0.6492,0.3993,81.04
79,0.185768,0.6490,0.4735,80.77
80,0.185637,0.6494,0.4245,81.41
81,0.183468,0.6509,0.5514,81.32
82,0.184841,0.6502,0.3886,82.41
83,0.184435,0.6503,0.4871,80.55
84,0.182608,0.6517,0.5126,81.36
85,0.182372,0.6516,0.5463,81.57
86,0.182735,0.6521,0.5576,81.26
87,0.183259,0.6514,0.4659,80.77
88,0.181326,0.6528,0.4662,80.73
89,0.181099,0.6534,0.5067,80.45
90,0.181382,0.6531,0.4343,81.50
91,0.180277,0.6547,0.5416,81.45
92,0.181352,0.6533,0.3893,80.96
93,0.181956,0.6525,0.5169,82.69
94,0.181140,0.6536,0.5068,81.39
95,0.179771,0.6545,0.5358,80.59
96,0.179461,0.6545,0.5342,81.18
97,0.177578,0.6562,0.5273,81.35
98,0.178061,0.6556,0.5197,81.65
99,0.177803,0.6567,0.5304,81.19
100,0.177726,0.6566,0.5157,82.18
101,0.179639,0.6538,0.4868,81.44
102,0.175482,0.6587,0.4753,81.81
103,0.178297,0.6552,0.4405,81.70
104,0.178068,0.6570,0.4157,81.76
105,0.177606,0.6566,0.5611,81.33
106,0.175257,0.6590,0.5433,81.14
107,0.175790,0.6583,0.4766,80.52
108,0.175831,0.6581,0.4182,81.18
109,0.175514,0.6580,0.5558,81.99
110,0.175750,0.6584,0.5175,81.76
111,0.175744,0.6582,0.4338,81.57
112,0.173636,0.6605,0.5109,80.69
113,0.175395,0.6584,0.4946,81.54
114,0.174910,0.6588,0.4684,81.05
115,0.171805,0.6624,0.5553,81.09
116,0.174355,0.6595,0.5041,81.25
117,0.174162,0.6601,0.4594,81.31
118,0.173653,0.6602,0.5144,81.82
119,0.173622,0.6599,0.3856,81.76
120,0.173772,0.6594,0.3848,81.35
121,0.171194,0.6637,0.4882,81.03
122,0.172540,0.6614,0.5348,81.31
123,0.172861,0.6613,0.4731,80.76
124,0.172157,0.6621,0.4803,81.51
125,0.172530,0.6613,0.5431,81.12
126,0.171816,0.6622,0.5454,81.76
127,0.170608,0.6629,0.5075,82.16
128,0.170408,0.6629,0.5531,81.10
129,0.171580,0.6630,0.5335,81.60
130,0.170617,0.6628,0.4812,80.73
131,0.171099,0.6625,0.5554,80.76
132,0.169821,0.6635,0.5108,81.14
133,0.170756,0.6633,0.5298,81.39
134,0.170070,0.6634,0.5338,81.00
135,0.169726,0.6641,0.5320,81.51
136,0.170086,0.6641,0.5593,81.43
137,0.169785,0.6635,0.5507,81.28
138,0.170286,0.6633,0.5610,81.95
139,0.168124,0.6662,0.5531,81.16
140,0.168957,0.6657,0.5418,81.95
141,0.167448,0.6663,0.4882,81.01
142,0.168240,0.6654,0.5148,81.87
143,0.169548,0.6654,0.5566,80.67
144,0.168695,0.6650,0.5223,82.46
145,0.167113,0.6670,0.5514,81.57
146,0.169180,0.6649,0.5408,81.26
147,0.166891,0.6667,0.5418,82.47
148,0.167233,0.6673,0.5309,80.87
149,0.169887,0.6649,0.4553,81.23
150,0.167343,0.6658,0.5582,81.57
151,0.167479,0.6675,0.5391,81.03
152,0.167168,0.6671,0.5283,80.95
153,0.166918,0.6672,0.5202,81.46
154,0.165724,0.6679,0.5161,81.56
155,0.165321,0.6688,0.5340,81.17
156,0.166058,0.6686,0.5613,81.23
157,0.166342,0.6673,0.5421,81.32
158,0.166672,0.6675,0.5095,80.75
159,0.166400,0.6678,0.4818,81.39
160,0.166722,0.6671,0.5063,82.68
161,0.164799,0.6692,0.5315,80.88
162,0.166653,0.6667,0.3951,81.28
163,0.165471,0.6684,0.5547,82.79
164,0.164890,0.6694,0.5427,81.41
165,0.165502,0.6687,0.5586,81.55
166,0.164555,0.6691,0.5269,80.67
167,0.164029,0.6696,0.5500,81.73
168,0.165691,0.6688,0.5596,81.66
169,0.165507,0.6685,0.4715,81.02
170,0.165034,0.6686,0.4736,81.88
171,0.164215,0.6709,0.5538,83.40
172,0.165366,0.6684,0.4452,80.85
173,0.164148,0.6692,0.5532,81.90
174,0.164095,0.6706,0.5587,81.51
175,0.165407,0.6686,0.5035,81.10
176,0.163956,0.6704,0.5513,81.01
177,0.162865,0.6711,0.4965,80.94
178,0.164934,0.6692,0.4780,81.37
179,0.163246,0.6714,0.5084,81.24
180,0.164648,0.6699,0.5550,80.68
181,0.163401,0.6705,0.5593,82.12
182,0.163152,0.6712,0.5562,81.19
183,0.163142,0.6705,0.5317,82.10
184,0.162835,0.6716,0.5574,81.51
185,0.163330,0.6700,0.4596,82.94
186,0.161629,0.6726,0.5575,81.37
187,0.162746,0.6714,0.4977,81.86
188,0.162215,0.6717,0.5444,81.31
189,0.162605,0.6715,0.4707,81.66
190,0.162014,0.6721,0.5594,81.25
191,0.162993,0.6712,0.5562,81.16
192,0.161550,0.6718,0.5337,81.32
193,0.162328,0.6715,0.5020,81.48
194,0.161845,0.6722,0.3740,81.89
195,0.162102,0.6719,0.5029,80.59
196,0.162038,0.6718,0.5537,80.79
197,0.161707,0.6722,0.5386,81.49
198,0.160589,0.6730,0.4916,81.81
199,0.161762,0.6718,0.5196,81.49
200,0.160966,0.6735,0.4250,81.40
201,0.160515,0.6733,0.4828,81.15
202,0.161712,0.6726,0.4806,81.78
203,0.161470,0.6726,0.5560,82.21
204,0.160016,0.6734,0.5042,81.79
205,0.160862,0.6730,0.5435,81.94
206,0.161122,0.6726,0.4098,80.64
207,0.160447,0.6738,0.5549,81.56
208,0.159937,0.6745,0.5559,81.24
209,0.160524,0.6747,0.5447,80.93
210,0.160764,0.6736,0.4409,81.26
211,0.160791,0.6737,0.5552,81.17
212,0.159909,0.6740,0.5042,81.32
213,0.159592,0.6741,0.4129,81.51
214,0.160047,0.6747,0.5000,81.47
215,0.160384,0.6731,0.5285,82.17
216,0.159871,0.6743,0.4739,81.57
217,0.160370,0.6740,0.5523,80.47
218,0.160536,0.6745,0.5507,80.59
219,0.159240,0.6744,0.5387,81.92
220,0.159089,0.6749,0.4206,81.47
221,0.160299,0.6739,0.5056,80.83
222,0.159615,0.6745,0.5607,81.14
223,0.158752,0.6758,0.5471,81.58
224,0.160403,0.6732,0.5612,81.30
225,0.158398,0.6763,0.5597,81.09
226,0.160209,0.6740,0.5064,80.66
227,0.158619,0.6759,0.4583,81.57
228,0.159184,0.6754,0.5317,83.23
229,0.160119,0.6741,0.5071,82.08
230,0.159609,0.6744,0.5014,82.24
231,0.159192,0.6746,0.5554,81.83
232,0.158900,0.6759,0.4627,80.74
233,0.158867,0.6763,0.4970,80.58
234,0.158574,0.6764,0.5477,81.25
235,0.158759,0.6759,0.5538,81.25
236,0.157356,0.6772,0.5504,81.37
237,0.158955,0.6758,0.5324,81.05
238,0.158529,0.6761,0.5113,80.67
239,0.157931,0.6768,0.5157,81.21
240,0.158654,0.6760,0.5432,81.40
241,0.157956,0.6761,0.5596,81.62
242,0.158306,0.6770,0.3405,81.19
243,0.157774,0.6767,0.3614,81.07
244,0.157737,0.6772,0.3536,81.18
245,0.157907,0.6767,0.4786,81.24
246,0.158106,0.6763,0.5317,82.31
247,0.157944,0.6771,0.5601,81.29
248,0.158138,0.6761,0.5075,81.52
249,0.156132,0.6780,0.5298,81.81
250,0.156079,0.6786,0.4676,81.20
251,0.157289,0.6775,0.4573,81.25
252,0.157370,0.6768,0.5318,81.38
253,0.158033,0.6765,0.5471,80.91
254,0.156716,0.6779,0.5306,81.62
255,0.156007,0.6784,0.5010,81.29
256,0.156933,0.6782,0.5289,81.17
257,0.157425,0.6769,0.3886,81.09
258,0.156495,0.6783,0.5235,81.52
259,0.158549,0.6755,0.5526,81.46
260,0.157320,0.6773,0.5600,81.94
261,0.155793,0.6791,0.5165,80.85
262,0.156619,0.6782,0.4959,81.49
263,0.157068,0.6777,0.5520,81.17
