Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.370191,0.5427,0.5698,21.86
1,0.317474,0.5764,0.4833,22.42
2,0.303738,0.5837,0.5593,22.08
3,0.292802,0.5902,0.4833,24.05
4,0.286121,0.5947,0.5711,21.58
5,0.280854,0.5974,0.5853,22.83
6,0.275577,0.6013,0.5768,22.87
7,0.271580,0.6043,0.5772,21.85
8,0.266441,0.6073,0.5509,25.54
9,0.264737,0.6093,0.5664,22.46
10,0.259392,0.6116,0.5766,21.36
11,0.255936,0.6137,0.5337,21.05
12,0.251011,0.6168,0.5673,20.40
13,0.245726,0.6216,0.5178,22.67
14,0.243437,0.6227,0.5724,24.47
15,0.240078,0.6257,0.5823,18.47
16,0.235938,0.6284,0.5832,18.32
17,0.232615,0.6300,0.5857,18.29
18,0.229717,0.6321,0.5476,18.41
19,0.226205,0.6351,0.5766,18.24
20,0.222986,0.6371,0.5679,18.39
21,0.220812,0.6391,0.5754,18.22
22,0.218325,0.6418,0.4628,18.26
23,0.215003,0.6445,0.5820,18.32
24,0.214649,0.6453,0.5662,18.32
25,0.209823,0.6483,0.5641,18.32
26,0.209974,0.6487,0.5598,18.24
27,0.206499,0.6516,0.5760,18.27
28,0.204287,0.6532,0.5139,18.31
29,0.202369,0.6552,0.5622,18.25
30,0.200120,0.6570,0.5739,18.42
31,0.198319,0.6594,0.5793,18.30
32,0.195771,0.6606,0.5189,18.26
33,0.195440,0.6615,0.5410,18.39
34,0.194379,0.6623,0.5576,18.75
35,0.191755,0.6648,0.5330,18.42
36,0.190645,0.6656,0.5716,18.44
37,0.189441,0.6665,0.5441,18.25
38,0.186727,0.6690,0.5229,18.22
39,0.187286,0.6693,0.5802,18.26
40,0.186190,0.6702,0.5772,18.24
41,0.184007,0.6721,0.5388,18.34
42,0.183329,0.6728,0.5708,18.94
43,0.181417,0.6744,0.5507,18.35
44,0.180530,0.6758,0.5033,18.26
45,0.179741,0.6769,0.5702,18.24
46,0.179657,0.6764,0.5066,18.30
47,0.176512,0.6793,0.5289,18.28
48,0.175902,0.6803,0.5498,18.76
49,0.176235,0.6804,0.5607,18.48
50,0.174865,0.6806,0.5799,18.65
51,0.174219,0.6821,0.5680,18.30
52,0.172928,0.6836,0.5565,18.47
53,0.173496,0.6829,0.5466,18.66
54,0.171854,0.6844,0.5710,18.24
55,0.171903,0.6841,0.5503,18.24
56,0.170086,0.6863,0.5054,18.22
57,0.169215,0.6875,0.5316,18.36
58,0.168215,0.6882,0.5675,18.26
59,0.169082,0.6876,0.5349,19.09
60,0.166613,0.6904,0.5477,18.28
61,0.167119,0.6898,0.5418,18.27
62,0.166030,0.6908,0.5228,18.35
63,0.166911,0.6898,0.5531,18.24
64,0.165325,0.6917,0.5171,18.22
65,0.163640,0.6939,0.4917,18.36
66,0.164331,0.6928,0.5132,18.33
67,0.164383,0.6925,0.5545,18.35
68,0.163620,0.6935,0.5561,18.54
69,0.162810,0.6949,0.5403,18.43
70,0.162226,0.6944,0.4966,18.28
71,0.162357,0.6953,0.5455,19.11
72,0.161751,0.6957,0.4503,18.28
73,0.161227,0.6960,0.5777,18.26
74,0.160046,0.6978,0.5076,18.33
75,0.160913,0.6973,0.5454,18.49
76,0.159341,0.6984,0.5416,18.29
77,0.160470,0.6977,0.5775,18.33
78,0.159270,0.6987,0.5722,18.31
79,0.159335,0.6986,0.5546,18.34
80,0.157808,0.7000,0.5630,18.44
81,0.158338,0.6997,0.5657,18.50
82,0.158291,0.7002,0.5550,18.26
83,0.157129,0.7009,0.5406,18.77
84,0.157278,0.7004,0.5181,18.47
85,0.156535,0.7012,0.5604,19.39
86,0.156006,0.7019,0.5602,18.23
87,0.156907,0.7012,0.4891,18.23
88,0.156114,0.7026,0.5606,18.44
89,0.154916,0.7035,0.5423,18.47
90,0.155371,0.7031,0.5845,18.80
91,0.154442,0.7046,0.5814,18.36
92,0.153952,0.7041,0.5584,18.45
93,0.154389,0.7039,0.5720,18.33
94,0.153205,0.7053,0.4666,18.37
95,0.154488,0.7040,0.5410,18.30
96,0.153334,0.7053,0.5750,18.34
97,0.152553,0.7063,0.5796,18.30
98,0.153194,0.7055,0.5497,18.30
99,0.152846,0.7060,0.5472,18.30
100,0.153115,0.7056,0.5523,18.44
101,0.151060,0.7081,0.5704,18.25
102,0.151471,0.7073,0.5674,18.30
103,0.151636,0.7072,0.4869,18.45
104,0.151515,0.7076,0.5750,18.30
105,0.151011,0.7082,0.5578,18.46
106,0.150792,0.7082,0.5070,20.78
107,0.150197,0.7087,0.5600,18.62
108,0.150205,0.7089,0.5859,18.20
109,0.150200,0.7084,0.5730,18.93
110,0.150115,0.7089,0.5490,19.16
111,0.149356,0.7094,0.5215,18.73
112,0.149768,0.7095,0.5816,18.22
113,0.148488,0.7109,0.5373,18.65
114,0.148565,0.7107,0.5768,18.41
115,0.148745,0.7102,0.5249,18.61
116,0.148126,0.7111,0.5109,18.32
