Epoch,IOU_Train,IOU_Val
0,0.5258,0.5503
1,0.5625,0.5488
2,0.5729,0.5533
3,0.5807,0.5412
4,0.5858,0.5251
5,0.5901,0.5068
6,0.5960,0.5563
7,0.5996,0.5483
8,0.6029,0.5505
9,0.6041,0.4954
10,0.6081,0.5413
11,0.6083,0.4968
12,0.6114,0.3917
13,0.6152,0.5539
14,0.6166,0.4934
15,0.6180,0.3993
16,0.6206,0.3927
17,0.6234,0.5444
18,0.6231,0.4586
19,0.6267,0.4210
20,0.6281,0.5307
21,0.6311,0.4674
22,0.6306,0.5365
23,0.6316,0.5461
24,0.6338,0.4802
25,0.6350,0.4399
26,0.6348,0.5268
27,0.6370,0.4806
28,0.6408,0.5244
29,0.6403,0.5525
30,0.6394,0.5026
31,0.6425,0.5328
32,0.6437,0.5406
33,0.6462,0.4719
34,0.6456,0.3762
35,0.6464,0.4636
36,0.6473,0.5328
37,0.6494,0.5230
38,0.6478,0.5091
39,0.6510,0.5181
40,0.6496,0.5535
41,0.6515,0.4901
42,0.6542,0.5342
43,0.6531,0.5162
44,0.6553,0.5180
45,0.6561,0.5068
46,0.6581,0.5203
47,0.6564,0.5419
48,0.6595,0.5407
49,0.6603,0.5035
50,0.6596,0.4802
51,0.6599,0.4927
52,0.6604,0.5542
53,0.6612,0.4656
54,0.6607,0.5206
55,0.6626,0.5363
56,0.6653,0.4267
57,0.6629,0.5275
58,0.6652,0.4847
59,0.6645,0.5577
60,0.6677,0.5488
61,0.6656,0.4715
62,0.6663,0.3103
63,0.6657,0.5203
64,0.6690,0.5077
65,0.6683,0.5050
66,0.6683,0.5570
67,0.6683,0.5620
68,0.6702,0.3933
69,0.6696,0.4816
70,0.6724,0.5257
71,0.6715,0.5173
72,0.6719,0.4794
73,0.6716,0.5212
74,0.6697,0.5309
75,0.6746,0.4308
76,0.6733,0.5007
77,0.6736,0.5353
78,0.6745,0.5139
79,0.6746,0.5442
80,0.6752,0.4459
81,0.6752,0.4999
82,0.6740,0.5268
83,0.6755,0.5290
84,0.6752,0.5490
85,0.6783,0.5062
86,0.6776,0.4938
87,0.6787,0.4898
88,0.6797,0.4689
89,0.6801,0.5405
90,0.6796,0.5101
91,0.6810,0.4981
92,0.6815,0.5202
93,0.6803,0.5329
94,0.6807,0.5348
95,0.6794,0.4788
96,0.6820,0.4985
97,0.6817,0.5028
98,0.6828,0.4973
99,0.6819,0.4900
100,0.6853,0.5387
101,0.6832,0.5116
102,0.6841,0.4910
103,0.6832,0.5166
104,0.6840,0.5493
105,0.6833,0.5352
106,0.6850,0.4368
107,0.6839,0.4950
108,0.6856,0.5651
109,0.6858,0.5079
110,0.6843,0.4812
111,0.6860,0.4908
112,0.6871,0.5082
113,0.6878,0.5541
114,0.6872,0.4632
115,0.6881,0.5541
116,0.6876,0.4709
117,0.6881,0.4552
118,0.6876,0.5599
119,0.6885,0.5209
120,0.6877,0.5280
121,0.6893,0.4734
122,0.6904,0.4368
123,0.6896,0.5081
124,0.6898,0.4933
125,0.6905,0.4539
126,0.6911,0.4423
127,0.6908,0.5237
128,0.6898,0.4472
129,0.6908,0.4063
130,0.6915,0.4925
131,0.6912,0.4584
132,0.6909,0.4088
133,0.6920,0.5060
134,0.6927,0.3546
135,0.6930,0.5075
136,0.6938,0.4848
137,0.6939,0.5385
138,0.6928,0.4367
139,0.6919,0.4383
140,0.6934,0.5281
141,0.6948,0.4506
142,0.6952,0.5624
143,0.6946,0.4651
144,0.6942,0.4078
145,0.6956,0.5113
