Epoch,IOU_Train,IOU_Val
0,0.5265,0.5253
1,0.5659,0.5136
2,0.5826,0.5363
3,0.5951,0.5500
4,0.6041,0.5265
5,0.6113,0.5247
6,0.6178,0.5622
7,0.6219,0.5438
8,0.6304,0.5145
9,0.6347,0.5579
10,0.6406,0.2722
11,0.6464,0.5322
12,0.6493,0.4987
13,0.6544,0.4566
14,0.6594,0.5534
15,0.6603,0.5252
16,0.6666,0.3319
17,0.6691,0.4572
18,0.6737,0.5120
19,0.6760,0.5305
20,0.6788,0.4231
21,0.6815,0.4381
22,0.6843,0.3130
23,0.6875,0.4449
24,0.6891,0.2566
25,0.6913,0.3984
26,0.6938,0.4198
27,0.6966,0.4492
28,0.6982,0.3598
29,0.7000,0.3347
30,0.7016,0.4740
31,0.7039,0.5129
32,0.7071,0.5310
33,0.7085,0.3746
34,0.7098,0.4537
35,0.7127,0.4696
36,0.7134,0.3798
37,0.7162,0.4450
38,0.7171,0.3740
39,0.7187,0.3927
40,0.7213,0.4673
41,0.7220,0.4966
42,0.7238,0.3918
43,0.7250,0.3334
44,0.7265,0.4324
45,0.7281,0.4195
46,0.7298,0.4891
47,0.7313,0.3390
48,0.7327,0.4182
49,0.7341,0.2300
50,0.7363,0.3558
51,0.7376,0.3244
52,0.7389,0.4292
53,0.7409,0.2736
54,0.7410,0.4512
55,0.7429,0.3446
56,0.7452,0.4295
57,0.7457,0.3430
58,0.7470,0.3283
59,0.7487,0.3933
60,0.7508,0.4037
61,0.7516,0.4009
62,0.7542,0.2871
63,0.7544,0.2505
64,0.7551,0.4233
65,0.7577,0.3965
66,0.7586,0.3385
67,0.7606,0.3389
68,0.7609,0.3295
69,0.7636,0.2818
70,0.7643,0.4176
71,0.7657,0.3040
72,0.7668,0.3865
73,0.7685,0.3971
74,0.7691,0.1656
75,0.7706,0.3947
76,0.7721,0.3024
77,0.7745,0.2588
78,0.7742,0.2566
79,0.7765,0.2047
80,0.7779,0.3307
81,0.7796,0.3259
82,0.7805,0.4273
83,0.7815,0.2400
84,0.7840,0.2748
85,0.7842,0.3482
86,0.7854,0.4673
87,0.7877,0.3795
88,0.7895,0.2453
89,0.7901,0.2752
90,0.7915,0.4193
91,0.7931,0.2316
92,0.7945,0.1579
93,0.7960,0.5084
94,0.7973,0.4996
95,0.7992,0.2884
96,0.8003,0.2374
97,0.8016,0.2919
98,0.8027,0.3852
99,0.8049,0.1707
100,0.8050,0.4766
101,0.8071,0.1785
102,0.8088,0.2663
103,0.8097,0.3244
104,0.8110,0.3875
105,0.8118,0.2094
106,0.8137,0.3376
107,0.8137,0.2750
108,0.8154,0.3955
109,0.8168,0.2391
110,0.8187,0.2421
111,0.8192,0.2875
112,0.8214,0.2583
113,0.8218,0.2983
114,0.8239,0.2502
115,0.8248,0.4445
116,0.8266,0.3715
117,0.8271,0.3754
118,0.8289,0.1843
119,0.8300,0.4446
120,0.8303,0.2081
121,0.8319,0.3159
122,0.8329,0.3536
123,0.8346,0.1967
124,0.8359,0.2218
125,0.8362,0.3440
126,0.8377,0.3405
127,0.8382,0.1959
128,0.8398,0.3022
129,0.8402,0.2797
