Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.375319,0.5265,0.5253,52.15
1,0.326575,0.5659,0.5136,49.76
2,0.299538,0.5826,0.5363,49.75
3,0.281150,0.5951,0.5500,49.74
4,0.265455,0.6041,0.5265,49.74
5,0.250732,0.6113,0.5247,49.75
6,0.241808,0.6178,0.5622,49.79
7,0.232878,0.6219,0.5438,49.81
8,0.221907,0.6304,0.5145,49.81
9,0.215323,0.6347,0.5579,49.80
10,0.208310,0.6406,0.2722,49.83
11,0.200101,0.6464,0.5322,49.89
12,0.196287,0.6493,0.4987,49.88
13,0.189519,0.6544,0.4566,49.81
14,0.183053,0.6594,0.5534,49.94
15,0.181602,0.6603,0.5252,49.85
16,0.175578,0.6666,0.3319,49.83
17,0.173044,0.6691,0.4572,49.85
18,0.168144,0.6737,0.5120,49.87
19,0.165738,0.6760,0.5305,49.93
20,0.162702,0.6788,0.4231,49.95
21,0.159070,0.6815,0.4381,49.93
22,0.157060,0.6843,0.3130,49.98
23,0.153718,0.6875,0.4449,50.03
24,0.152311,0.6891,0.2566,50.00
25,0.149842,0.6913,0.3984,49.93
26,0.148341,0.6938,0.4198,49.96
27,0.145797,0.6966,0.4492,49.96
28,0.144582,0.6982,0.3598,50.02
29,0.142879,0.7000,0.3347,49.98
30,0.141417,0.7016,0.4740,50.02
31,0.139603,0.7039,0.5129,50.05
32,0.136731,0.7071,0.5310,50.04
33,0.136152,0.7085,0.3746,50.05
34,0.134971,0.7098,0.4537,50.02
35,0.132570,0.7127,0.4696,50.03
36,0.131740,0.7134,0.3798,50.03
37,0.130025,0.7162,0.4450,50.02
38,0.129104,0.7171,0.3740,49.97
39,0.127904,0.7187,0.3927,50.01
40,0.125609,0.7213,0.4673,50.05
41,0.125627,0.7220,0.4966,49.97
42,0.124094,0.7238,0.3918,49.98
43,0.123807,0.7250,0.3334,51.68
44,0.122443,0.7265,0.4324,50.03
45,0.120983,0.7281,0.4195,50.04
46,0.119719,0.7298,0.4891,50.05
47,0.118908,0.7313,0.3390,50.02
48,0.117616,0.7327,0.4182,50.00
49,0.117341,0.7341,0.2300,50.01
50,0.115804,0.7363,0.3558,50.01
51,0.114718,0.7376,0.3244,50.02
52,0.114087,0.7389,0.4292,50.03
53,0.112319,0.7409,0.2736,50.00
54,0.112608,0.7410,0.4512,49.99
55,0.111141,0.7429,0.3446,49.99
56,0.109835,0.7452,0.4295,49.97
57,0.109604,0.7457,0.3430,49.98
58,0.108815,0.7470,0.3283,50.02
59,0.107296,0.7487,0.3933,50.05
60,0.106190,0.7508,0.4037,49.97
