Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.386000,0.5114,0.5193,35.70
1,0.337343,0.5501,0.5394,35.49
2,0.311148,0.5699,0.5261,33.80
3,0.295211,0.5787,0.5274,33.88
4,0.283538,0.5873,0.5434,34.36
5,0.272154,0.5945,0.5420,34.59
6,0.266604,0.5986,0.5252,35.90
7,0.258484,0.6034,0.4709,34.75
8,0.251111,0.6077,0.4802,35.14
9,0.244524,0.6104,0.3737,35.25
10,0.241500,0.6125,0.5253,35.09
11,0.237825,0.6156,0.4730,34.42
12,0.231186,0.6194,0.5380,34.56
13,0.227538,0.6225,0.5258,34.30
14,0.223277,0.6262,0.5671,34.33
15,0.220428,0.6264,0.5187,37.58
16,0.213668,0.6322,0.5379,38.11
17,0.213347,0.6314,0.4147,36.71
18,0.210027,0.6341,0.4293,36.42
19,0.207778,0.6356,0.4223,36.29
20,0.205647,0.6378,0.4290,37.89
21,0.202200,0.6401,0.5528,38.31
22,0.199755,0.6420,0.4842,38.55
23,0.200694,0.6416,0.4179,36.75
24,0.198773,0.6430,0.4082,36.46
25,0.194486,0.6471,0.5534,34.83
26,0.194216,0.6469,0.5137,35.26
27,0.191293,0.6484,0.4760,34.37
28,0.189333,0.6505,0.5063,34.57
29,0.187394,0.6519,0.3209,35.13
30,0.186524,0.6531,0.4542,34.43
31,0.185516,0.6536,0.4971,34.36
32,0.182778,0.6556,0.5276,34.41
33,0.180951,0.6578,0.4782,34.35
34,0.181655,0.6562,0.5032,34.43
35,0.178073,0.6592,0.4984,34.42
36,0.178014,0.6603,0.5027,34.57
37,0.176253,0.6623,0.5300,34.41
38,0.175058,0.6630,0.4886,34.42
39,0.174034,0.6635,0.4476,34.41
40,0.171094,0.6669,0.5433,34.43
41,0.173069,0.6653,0.5059,34.28
42,0.170439,0.6673,0.4217,34.45
43,0.169103,0.6690,0.4389,34.43
44,0.169436,0.6681,0.5204,34.50
45,0.168420,0.6688,0.5219,34.52
46,0.166108,0.6716,0.5625,34.44
47,0.167458,0.6708,0.5525,34.38
48,0.164317,0.6740,0.4942,34.42
49,0.163716,0.6739,0.5230,34.62
50,0.162617,0.6751,0.4484,34.68
51,0.162817,0.6760,0.5555,34.41
52,0.161200,0.6777,0.5161,34.58
53,0.160835,0.6773,0.4898,34.70
54,0.158537,0.6794,0.5263,34.46
55,0.158957,0.6803,0.5655,34.44
56,0.159353,0.6788,0.5534,34.75
57,0.158705,0.6800,0.5438,34.57
58,0.156206,0.6819,0.5442,34.77
59,0.155157,0.6834,0.5085,34.62
60,0.154638,0.6838,0.5352,34.68
61,0.154344,0.6845,0.5290,34.42
62,0.154401,0.6848,0.5074,34.83
63,0.153327,0.6860,0.5076,34.47
64,0.153120,0.6866,0.4223,34.44
65,0.152918,0.6864,0.5068,34.45
66,0.151518,0.6882,0.3600,34.40
67,0.152415,0.6870,0.4784,34.60
68,0.149511,0.6896,0.5109,34.45
69,0.150932,0.6875,0.3785,34.60
70,0.148711,0.6914,0.5620,34.80
71,0.148403,0.6909,0.4652,34.59
72,0.147649,0.6921,0.5377,34.48
73,0.148532,0.6907,0.5461,34.80
74,0.146842,0.6935,0.4359,34.58
75,0.146925,0.6934,0.5396,34.96
76,0.145956,0.6934,0.5403,34.53
77,0.144967,0.6956,0.4726,34.54
78,0.146244,0.6940,0.5097,34.72
79,0.144896,0.6950,0.5728,34.47
80,0.144579,0.6954,0.5291,34.57
81,0.144313,0.6958,0.5538,34.42
82,0.143356,0.6973,0.4792,35.66
83,0.143520,0.6974,0.5021,34.36
84,0.142641,0.6980,0.5403,34.45
85,0.141053,0.7003,0.5121,34.62
86,0.142106,0.6992,0.4822,34.65
87,0.139968,0.7010,0.5002,34.73
88,0.139627,0.7017,0.5020,34.43
89,0.140407,0.7011,0.5083,34.37
90,0.138783,0.7033,0.5429,34.49
91,0.139829,0.7016,0.4926,34.63
92,0.138385,0.7030,0.4870,34.58
93,0.138947,0.7026,0.4997,34.55
94,0.137010,0.7050,0.4855,34.77
95,0.137220,0.7045,0.5645,34.39
96,0.136275,0.7057,0.5067,34.41
97,0.137545,0.7042,0.5057,34.47
98,0.136572,0.7058,0.5524,34.51
99,0.135567,0.7070,0.5212,34.48
100,0.134713,0.7085,0.5376,34.44
101,0.133616,0.7088,0.5093,34.62
102,0.134800,0.7081,0.5412,34.59
103,0.133555,0.7093,0.5396,34.41
104,0.133997,0.7087,0.3953,34.51
105,0.133070,0.7103,0.4730,34.59
106,0.132937,0.7098,0.5206,34.40
107,0.131934,0.7114,0.4471,34.86
108,0.133188,0.7104,0.3500,34.71
109,0.131626,0.7122,0.5265,34.36
110,0.130665,0.7128,0.5608,35.99
111,0.131875,0.7123,0.4978,34.40
112,0.129572,0.7150,0.5461,34.93
113,0.129504,0.7152,0.4706,34.36
114,0.129687,0.7144,0.4417,34.75
115,0.127719,0.7177,0.5509,34.58
116,0.128434,0.7167,0.4075,34.42
117,0.128026,0.7175,0.3856,34.51
118,0.127744,0.7178,0.5382,34.43
119,0.126137,0.7195,0.4647,34.48
