Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.337829,0.5420,0.5603,42.87
1,0.290208,0.5738,0.5341,40.84
2,0.273136,0.5848,0.5557,41.84
3,0.259087,0.5954,0.5555,40.88
4,0.248688,0.6039,0.5369,40.97
5,0.239142,0.6108,0.4971,41.01
6,0.232509,0.6147,0.5241,40.95
7,0.225134,0.6210,0.4738,41.18
8,0.217612,0.6260,0.4450,41.00
9,0.214217,0.6290,0.5013,40.98
10,0.207065,0.6342,0.5247,40.95
11,0.202736,0.6379,0.3778,41.04
12,0.198871,0.6408,0.5445,40.98
13,0.195050,0.6446,0.5104,40.91
14,0.190732,0.6471,0.5348,40.95
15,0.187648,0.6503,0.5298,40.95
16,0.184976,0.6523,0.4734,41.03
17,0.181616,0.6553,0.4871,41.35
18,0.179304,0.6570,0.4850,40.90
19,0.176551,0.6598,0.4623,40.89
20,0.173883,0.6620,0.4844,41.14
21,0.172121,0.6644,0.5370,40.96
22,0.169018,0.6667,0.5096,40.93
23,0.167041,0.6687,0.5186,40.91
24,0.164485,0.6717,0.3833,41.02
25,0.164004,0.6722,0.5269,40.99
26,0.160486,0.6751,0.5334,41.09
27,0.159628,0.6762,0.4804,41.02
28,0.158851,0.6773,0.5288,41.07
29,0.157709,0.6784,0.5195,41.09
30,0.155880,0.6802,0.5047,40.97
31,0.154214,0.6824,0.5220,40.96
32,0.153121,0.6833,0.5517,40.94
33,0.151950,0.6852,0.5443,46.37
34,0.151585,0.6850,0.5506,41.01
35,0.148982,0.6886,0.5268,40.97
36,0.147728,0.6900,0.4819,40.92
37,0.147986,0.6892,0.4670,40.92
38,0.146487,0.6911,0.5386,41.04
39,0.144463,0.6934,0.5240,41.58
40,0.144465,0.6938,0.5457,40.95
41,0.142551,0.6954,0.4918,40.92
42,0.142397,0.6960,0.5075,40.99
43,0.140389,0.6976,0.4873,40.97
44,0.140424,0.6984,0.4597,40.98
45,0.140310,0.6989,0.5264,40.98
46,0.138814,0.7005,0.5219,40.97
47,0.137883,0.7011,0.5237,41.10
48,0.137355,0.7019,0.5066,40.89
49,0.136170,0.7036,0.4788,41.04
50,0.135842,0.7040,0.4514,41.01
51,0.135557,0.7049,0.5180,40.98
52,0.135229,0.7050,0.5136,41.03
53,0.134096,0.7059,0.5188,41.20
54,0.133811,0.7066,0.5167,41.47
55,0.133282,0.7069,0.4244,41.55
56,0.132426,0.7085,0.4127,41.02
57,0.131908,0.7089,0.5383,41.07
58,0.131110,0.7097,0.4902,41.18
59,0.130880,0.7105,0.4956,40.92
60,0.130634,0.7108,0.5057,41.10
61,0.130020,0.7117,0.5358,41.18
62,0.130036,0.7113,0.4547,41.11
63,0.129052,0.7128,0.5546,40.99
64,0.129304,0.7125,0.3138,40.98
65,0.127592,0.7147,0.5386,40.97
66,0.128212,0.7135,0.4569,41.02
67,0.127469,0.7146,0.5025,41.11
68,0.127368,0.7153,0.5046,41.05
69,0.126963,0.7153,0.5426,40.96
70,0.126579,0.7157,0.4927,40.84
71,0.125851,0.7173,0.4915,41.06
72,0.125736,0.7171,0.5150,41.04
73,0.125327,0.7178,0.5251,40.95
74,0.125325,0.7173,0.5342,41.21
75,0.124380,0.7191,0.3825,40.99
76,0.124064,0.7194,0.4950,41.53
77,0.123814,0.7192,0.4378,41.00
78,0.123520,0.7197,0.5007,41.36
79,0.122492,0.7215,0.4359,41.30
80,0.122969,0.7208,0.4399,40.90
81,0.122233,0.7219,0.5613,40.98
82,0.121871,0.7223,0.4834,41.04
83,0.121420,0.7232,0.5087,41.17
84,0.121196,0.7231,0.3903,41.09
85,0.120986,0.7234,0.4631,41.38
86,0.120829,0.7240,0.4217,41.07
87,0.120848,0.7235,0.5172,41.03
88,0.120470,0.7244,0.4955,40.98
89,0.120168,0.7244,0.5186,41.35
90,0.119620,0.7255,0.4231,41.48
91,0.119105,0.7258,0.5307,41.19
92,0.119022,0.7258,0.4660,41.08
93,0.118613,0.7273,0.5225,41.11
94,0.118430,0.7268,0.4896,40.96
95,0.118834,0.7266,0.4467,41.04
96,0.117468,0.7282,0.5120,41.10
97,0.117596,0.7282,0.5099,41.23
98,0.117250,0.7284,0.5271,41.13
99,0.117439,0.7285,0.5143,41.40
