Epoch,IOU_Train,IOU_Val
0,0.5364,0.5472
1,0.5682,0.5452
2,0.5848,0.5358
3,0.5966,0.5167
4,0.6039,0.5385
5,0.6109,0.4526
6,0.6178,0.4182
7,0.6236,0.4775
8,0.6259,0.4897
9,0.6314,0.4984
10,0.6351,0.5241
11,0.6414,0.5370
12,0.6423,0.4571
13,0.6473,0.5602
14,0.6500,0.5547
15,0.6526,0.5456
16,0.6569,0.5469
17,0.6593,0.5270
18,0.6611,0.5540
19,0.6640,0.5219
20,0.6652,0.5506
21,0.6691,0.5196
22,0.6710,0.4856
23,0.6729,0.5557
24,0.6736,0.5538
25,0.6737,0.5285
26,0.6771,0.5098
27,0.6794,0.5603
28,0.6815,0.5081
29,0.6823,0.5574
30,0.6850,0.5331
31,0.6866,0.5421
32,0.6873,0.5326
33,0.6887,0.4842
34,0.6906,0.5606
35,0.6914,0.5266
36,0.6925,0.5267
37,0.6932,0.5604
38,0.6942,0.5506
39,0.6964,0.5461
40,0.6983,0.5439
41,0.6975,0.5414
42,0.7007,0.5562
43,0.7002,0.5624
44,0.7015,0.5400
45,0.7031,0.5290
46,0.7036,0.5643
47,0.7045,0.4246
48,0.7054,0.5286
49,0.7060,0.5117
50,0.7059,0.4913
51,0.7078,0.5418
52,0.7082,0.4765
53,0.7089,0.5235
54,0.7103,0.5570
55,0.7100,0.5396
56,0.7114,0.5339
57,0.7121,0.5427
58,0.7118,0.5512
59,0.7140,0.5624
60,0.7142,0.5029
61,0.7152,0.5271
62,0.7153,0.4678
63,0.7155,0.5643
64,0.7163,0.5349
65,0.7169,0.5596
66,0.7181,0.5561
67,0.7176,0.5327
68,0.7191,0.5507
69,0.7180,0.5685
70,0.7189,0.5521
71,0.7214,0.4837
72,0.7203,0.5220
73,0.7210,0.5612
74,0.7219,0.5615
75,0.7231,0.4900
76,0.7231,0.5688
77,0.7224,0.5225
78,0.7240,0.5305
79,0.7242,0.5290
80,0.7254,0.5654
81,0.7254,0.5637
82,0.7266,0.5550
83,0.7264,0.5260
