Epoch,IOU_Train,IOU_Val
0,0.5321,0.3948
1,0.5610,0.5510
2,0.5761,0.4692
3,0.5843,0.5213
4,0.5920,0.5521
5,0.5973,0.5481
6,0.6021,0.5297
7,0.6083,0.4196
8,0.6125,0.5251
9,0.6175,0.5002
10,0.6208,0.4679
11,0.6247,0.4919
12,0.6308,0.5512
13,0.6329,0.4199
14,0.6370,0.4910
15,0.6406,0.4909
16,0.6444,0.3761
17,0.6474,0.5140
18,0.6508,0.5485
19,0.6543,0.3377
20,0.6579,0.5047
21,0.6604,0.4374
22,0.6627,0.5479
23,0.6643,0.5335
24,0.6674,0.3731
25,0.6690,0.4613
26,0.6725,0.4085
27,0.6739,0.3534
28,0.6758,0.4846
29,0.6764,0.2524
30,0.6788,0.3181
31,0.6816,0.1568
32,0.6826,0.4582
33,0.6849,0.4485
34,0.6873,0.3826
35,0.6883,0.5154
36,0.6903,0.3600
37,0.6908,0.2417
38,0.6927,0.4262
39,0.6954,0.4636
40,0.6958,0.3698
41,0.6973,0.3280
42,0.7001,0.3921
43,0.7019,0.3332
44,0.7020,0.5112
45,0.7037,0.3050
46,0.7057,0.5415
47,0.7066,0.4116
48,0.7076,0.2799
49,0.7093,0.3921
50,0.7103,0.3113
51,0.7123,0.4515
52,0.7143,0.4776
53,0.7146,0.2668
54,0.7163,0.5425
55,0.7172,0.2471
56,0.7192,0.2542
57,0.7196,0.4788
58,0.7210,0.2986
59,0.7218,0.2295
60,0.7240,0.3704
61,0.7248,0.2194
62,0.7268,0.3410
63,0.7277,0.2378
64,0.7282,0.4692
65,0.7298,0.2087
66,0.7309,0.2726
67,0.7317,0.3069
68,0.7319,0.4924
69,0.7336,0.4004
70,0.7352,0.3265
71,0.7375,0.3541
72,0.7374,0.1680
73,0.7387,0.2624
74,0.7399,0.4865
75,0.7415,0.3043
76,0.7415,0.2851
77,0.7439,0.5133
78,0.7442,0.2062
79,0.7457,0.3718
80,0.7477,0.2089
81,0.7477,0.2380
82,0.7481,0.4717
83,0.7499,0.2590
84,0.7510,0.2758
85,0.7521,0.3462
86,0.7521,0.3155
87,0.7537,0.5124
88,0.7553,0.4151
89,0.7554,0.4532
90,0.7567,0.3920
91,0.7579,0.1696
92,0.7583,0.2937
93,0.7596,0.1116
94,0.7609,0.3124
95,0.7615,0.2786
96,0.7625,0.4433
97,0.7631,0.3549
98,0.7642,0.3555
99,0.7652,0.3965
100,0.7658,0.2989
101,0.7665,0.3057
102,0.7674,0.3659
103,0.7685,0.4109
104,0.7688,0.4295
105,0.7703,0.2944
106,0.7709,0.3388
107,0.7719,0.3479
108,0.7732,0.2168
109,0.7731,0.2492
110,0.7751,0.3453
111,0.7758,0.2551
112,0.7761,0.1982
113,0.7773,0.2152
114,0.7785,0.3706
115,0.7787,0.3167
116,0.7799,0.3878
117,0.7812,0.3308
118,0.7816,0.4068
119,0.7827,0.4180
120,0.7832,0.3856
121,0.7840,0.4312
122,0.7855,0.4300
123,0.7855,0.1101
124,0.7867,0.3370
125,0.7881,0.1143
126,0.7885,0.3744
127,0.7895,0.2816
128,0.7901,0.3548
129,0.7907,0.3540
130,0.7916,0.2093
131,0.7926,0.2173
132,0.7931,0.2736
133,0.7937,0.2555
134,0.7949,0.2473
135,0.7957,0.3353
136,0.7965,0.3059
137,0.7968,0.2901
138,0.7975,0.3132
139,0.7980,0.4806
140,0.7988,0.3646
141,0.7992,0.3797
142,0.7997,0.1825
143,0.8002,0.3098
144,0.8015,0.4018
145,0.8015,0.4124
146,0.8027,0.2586
147,0.8035,0.2853
148,0.8052,0.3197
149,0.8048,0.2082
150,0.8049,0.3017
151,0.8061,0.1590
152,0.8062,0.3035
153,0.8072,0.2964
154,0.8071,0.1582
155,0.8081,0.3754
156,0.8079,0.3319
157,0.8097,0.3415
158,0.8097,0.3876
159,0.8099,0.2591
160,0.8101,0.2990
161,0.8115,0.3245
162,0.8121,0.3674
163,0.8126,0.2070
164,0.8131,0.4794
165,0.8133,0.4038
166,0.8144,0.4138
167,0.8153,0.3680
168,0.8159,0.2209
169,0.8160,0.2947
170,0.8168,0.1806
171,0.8176,0.1201
172,0.8173,0.4040
173,0.8187,0.2840
174,0.8182,0.1983
175,0.8202,0.3077
176,0.8201,0.2575
177,0.8209,0.1743
178,0.8217,0.2431
179,0.8216,0.2774
180,0.8220,0.2345
181,0.8229,0.4992
182,0.8243,0.2340
183,0.8245,0.3419
184,0.8246,0.1914
185,0.8254,0.3473
186,0.8259,0.3348
187,0.8269,0.1800
188,0.8269,0.2883
189,0.8275,0.2323
190,0.8281,0.3428
191,0.8286,0.3088
192,0.8296,0.4499
193,0.8299,0.1874
194,0.8299,0.2769
195,0.8308,0.3478
196,0.8312,0.3814
197,0.8318,0.3997
198,0.8319,0.2356
199,0.8331,0.1546
200,0.8340,0.3993
201,0.8334,0.2188
202,0.8343,0.3566
203,0.8348,0.2639
204,0.8354,0.1702
205,0.8361,0.2359
206,0.8372,0.4354
207,0.8369,0.2209
208,0.8375,0.4001
209,0.8378,0.0631
210,0.8391,0.2542
211,0.8388,0.3384
212,0.8393,0.3712
213,0.8403,0.4349
214,0.8403,0.3004
215,0.8414,0.2289
216,0.8415,0.3089
217,0.8421,0.3010
218,0.8428,0.3012
219,0.8436,0.3559
