Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.337214,0.5386,0.5527,21.47
1,0.289184,0.5667,0.5508,21.34
2,0.270407,0.5805,0.5484,21.29
3,0.255199,0.5916,0.5598,21.45
4,0.247014,0.5963,0.5389,21.26
5,0.236188,0.6042,0.5379,22.42
6,0.229725,0.6099,0.5509,22.31
7,0.222002,0.6164,0.5476,21.63
8,0.215667,0.6207,0.5175,21.45
9,0.209274,0.6269,0.5402,21.29
10,0.204802,0.6289,0.5245,21.37
11,0.201169,0.6326,0.5026,21.31
12,0.193653,0.6398,0.4274,21.79
13,0.191185,0.6411,0.4971,22.42
14,0.184070,0.6484,0.5629,21.31
15,0.182210,0.6507,0.3559,24.29
16,0.178184,0.6531,0.4678,21.39
17,0.175570,0.6568,0.4697,24.32
18,0.171705,0.6603,0.4971,21.53
19,0.169493,0.6638,0.5445,21.63
20,0.167327,0.6651,0.3958,21.48
21,0.164949,0.6680,0.4562,21.36
22,0.162192,0.6713,0.5284,21.38
23,0.160169,0.6731,0.4357,21.62
24,0.158829,0.6751,0.5082,21.24
25,0.156348,0.6777,0.4074,25.29
26,0.154925,0.6791,0.3860,21.95
27,0.152864,0.6812,0.2447,21.57
28,0.151522,0.6831,0.3174,21.62
29,0.150599,0.6848,0.4226,21.73
30,0.148754,0.6858,0.3811,23.30
31,0.147386,0.6884,0.4682,21.46
32,0.146690,0.6889,0.4245,22.65
33,0.144847,0.6911,0.5037,21.89
34,0.143885,0.6918,0.2042,21.80
35,0.143140,0.6933,0.5347,21.46
36,0.141879,0.6952,0.5356,21.37
37,0.140038,0.6966,0.4857,21.37
38,0.139472,0.6976,0.2272,21.41
39,0.137729,0.6996,0.2866,21.40
40,0.136131,0.7020,0.3222,21.39
41,0.136102,0.7014,0.2058,21.52
42,0.134375,0.7039,0.4937,21.42
43,0.133012,0.7059,0.4021,21.54
44,0.132428,0.7064,0.4664,21.41
45,0.130589,0.7085,0.2160,21.42
46,0.129606,0.7100,0.3695,21.49
47,0.129793,0.7096,0.4496,22.91
48,0.127377,0.7133,0.3631,21.39
49,0.126207,0.7144,0.4819,21.97
50,0.124857,0.7170,0.1979,24.30
51,0.124548,0.7169,0.2517,22.61
52,0.123583,0.7188,0.4495,21.44
53,0.122958,0.7195,0.2869,26.68
54,0.121698,0.7215,0.4299,22.24
55,0.119483,0.7242,0.3200,21.58
56,0.119326,0.7249,0.4552,21.50
57,0.118823,0.7259,0.4187,21.63
58,0.117716,0.7277,0.4331,21.47
59,0.116412,0.7291,0.3712,21.82
60,0.115711,0.7304,0.3010,21.88
61,0.115037,0.7312,0.2635,21.49
62,0.114288,0.7328,0.4580,21.35
63,0.113515,0.7339,0.2841,21.59
64,0.112369,0.7358,0.2921,21.69
65,0.111506,0.7375,0.2835,21.70
66,0.111246,0.7373,0.1075,24.10
67,0.110343,0.7396,0.2832,21.82
68,0.108957,0.7415,0.3590,22.42
69,0.108333,0.7426,0.1583,21.54
70,0.107391,0.7440,0.2569,21.59
71,0.106823,0.7452,0.2784,22.18
72,0.106456,0.7459,0.3744,21.60
73,0.105215,0.7479,0.2803,21.50
74,0.105370,0.7481,0.3447,21.40
75,0.104279,0.7498,0.2482,21.56
76,0.102981,0.7519,0.3063,21.67
77,0.102065,0.7532,0.3650,21.66
78,0.102350,0.7531,0.1548,21.55
79,0.100690,0.7559,0.4605,21.53
80,0.100940,0.7556,0.1032,21.44
81,0.100185,0.7567,0.1169,21.90
82,0.099243,0.7585,0.3074,21.45
83,0.098727,0.7593,0.4427,21.80
84,0.098245,0.7603,0.2535,21.53
85,0.097699,0.7612,0.1854,21.56
86,0.097314,0.7620,0.2334,21.92
87,0.096568,0.7632,0.5090,21.55
88,0.096057,0.7642,0.4085,21.40
89,0.095344,0.7656,0.1909,21.58
90,0.094923,0.7662,0.2855,21.52
91,0.094206,0.7674,0.3728,21.51
92,0.093522,0.7683,0.2383,21.46
93,0.093549,0.7688,0.3770,21.59
94,0.092672,0.7705,0.3838,21.48
95,0.091820,0.7717,0.1902,21.48
96,0.091731,0.7722,0.2700,21.37
97,0.091427,0.7727,0.1331,21.40
98,0.090535,0.7740,0.3014,21.35
99,0.090439,0.7744,0.3784,21.37
100,0.089881,0.7752,0.4910,21.53
101,0.089151,0.7768,0.1653,21.45
102,0.088981,0.7773,0.1882,21.62
103,0.088157,0.7788,0.2692,21.81
104,0.088037,0.7788,0.3653,21.70
105,0.087671,0.7795,0.0661,21.48
106,0.087683,0.7797,0.2228,21.38
107,0.086715,0.7816,0.4072,21.37
108,0.086458,0.7820,0.2934,21.66
109,0.085603,0.7835,0.3026,24.35
110,0.085485,0.7836,0.4285,21.80
111,0.084997,0.7844,0.3250,21.39
112,0.085177,0.7846,0.2532,22.18
113,0.084436,0.7858,0.2756,21.53
114,0.084134,0.7869,0.3255,23.33
115,0.083504,0.7875,0.2468,22.13
116,0.083358,0.7877,0.3191,21.48
117,0.082891,0.7887,0.2846,21.42
118,0.082432,0.7895,0.3593,21.69
119,0.081786,0.7908,0.2693,21.41
120,0.081656,0.7911,0.3811,21.62
121,0.081250,0.7918,0.2684,21.56
122,0.080738,0.7927,0.3107,21.51
123,0.080377,0.7936,0.2749,21.40
124,0.079918,0.7943,0.4020,22.36
125,0.080117,0.7941,0.1845,21.78
126,0.079507,0.7950,0.4652,21.41
127,0.078803,0.7964,0.1982,21.59
