Epoch,IOU_Train,IOU_Val
0,0.5068,0.5548
1,0.5484,0.5513
2,0.5608,0.5503
3,0.5691,0.5660
4,0.5750,0.5341
5,0.5784,0.5621
6,0.5840,0.5677
7,0.5880,0.5501
8,0.5908,0.5582
9,0.5954,0.4734
10,0.5984,0.5419
11,0.6040,0.5471
12,0.6079,0.4852
13,0.6116,0.4928
14,0.6154,0.5111
15,0.6196,0.4777
16,0.6223,0.5354
17,0.6249,0.5634
18,0.6299,0.5044
19,0.6352,0.5356
20,0.6364,0.4334
21,0.6390,0.5277
22,0.6430,0.5716
23,0.6442,0.5384
24,0.6493,0.5737
25,0.6501,0.3977
26,0.6528,0.4953
27,0.6538,0.5672
28,0.6568,0.5170
29,0.6587,0.5507
30,0.6612,0.5277
31,0.6625,0.5431
32,0.6644,0.4046
33,0.6673,0.4941
34,0.6680,0.5397
35,0.6692,0.5069
36,0.6710,0.4785
37,0.6726,0.4290
38,0.6749,0.5012
39,0.6752,0.4838
40,0.6779,0.5184
41,0.6775,0.5132
42,0.6794,0.5073
43,0.6819,0.5185
44,0.6822,0.4452
45,0.6838,0.4033
46,0.6841,0.5203
47,0.6855,0.4394
48,0.6871,0.5285
49,0.6868,0.5106
50,0.6879,0.4551
51,0.6899,0.4776
52,0.6890,0.4156
53,0.6899,0.4879
54,0.6926,0.5329
55,0.6923,0.5569
56,0.6932,0.4374
57,0.6944,0.5661
58,0.6971,0.4653
59,0.6959,0.5496
60,0.6970,0.5411
61,0.6975,0.4819
62,0.6991,0.5631
63,0.6988,0.4867
64,0.7006,0.4707
65,0.7017,0.5671
66,0.7021,0.4605
67,0.7024,0.5399
68,0.7036,0.5354
69,0.7039,0.5629
70,0.7061,0.5305
71,0.7065,0.5324
72,0.7069,0.5304
73,0.7056,0.4855
74,0.7074,0.5003
75,0.7084,0.4914
76,0.7088,0.4620
77,0.7103,0.5234
78,0.7116,0.5381
79,0.7116,0.4642
80,0.7112,0.5132
81,0.7114,0.5021
82,0.7135,0.5316
83,0.7149,0.5365
84,0.7143,0.4794
85,0.7157,0.4727
86,0.7161,0.4630
87,0.7169,0.4916
88,0.7182,0.4905
89,0.7201,0.5065
90,0.7196,0.5414
91,0.7198,0.4941
92,0.7220,0.5400
93,0.7224,0.4250
94,0.7230,0.4763
95,0.7233,0.5166
96,0.7237,0.4597
97,0.7255,0.4666
98,0.7264,0.4411
99,0.7269,0.4346
100,0.7279,0.5479
101,0.7279,0.5090
102,0.7294,0.5190
103,0.7302,0.4936
104,0.7316,0.4415
105,0.7326,0.5363
106,0.7331,0.5095
107,0.7335,0.4426
108,0.7353,0.4903
109,0.7365,0.3920
110,0.7363,0.5023
111,0.7368,0.4393
112,0.7388,0.5493
113,0.7394,0.4166
114,0.7396,0.4294
115,0.7409,0.4736
116,0.7414,0.4711
117,0.7429,0.5151
118,0.7434,0.5049
119,0.7440,0.4882
120,0.7450,0.4593
121,0.7462,0.4930
122,0.7465,0.4646
123,0.7475,0.4792
124,0.7473,0.3884
125,0.7494,0.4621
126,0.7496,0.5276
127,0.7506,0.3733
128,0.7508,0.4738
129,0.7526,0.5015
130,0.7524,0.4679
131,0.7530,0.4758
132,0.7544,0.4758
133,0.7542,0.5043
134,0.7561,0.3973
135,0.7561,0.5087
136,0.7577,0.4677
137,0.7577,0.3899
138,0.7588,0.3762
139,0.7598,0.4855
140,0.7598,0.4341
141,0.7608,0.4624
142,0.7614,0.5295
143,0.7614,0.4320
144,0.7624,0.4834
145,0.7629,0.4986
146,0.7639,0.3738
147,0.7637,0.4603
148,0.7650,0.4367
149,0.7650,0.4115
150,0.7658,0.4730
151,0.7669,0.4339
152,0.7672,0.4454
153,0.7670,0.5095
154,0.7681,0.3701
155,0.7689,0.3707
156,0.7696,0.4641
157,0.7700,0.4793
158,0.7711,0.4194
159,0.7715,0.4557
160,0.7709,0.4194
161,0.7720,0.4077
162,0.7727,0.4959
163,0.7729,0.4807
164,0.7737,0.4764
165,0.7747,0.4931
166,0.7745,0.5013
167,0.7752,0.4623
168,0.7762,0.4394
169,0.7759,0.5179
170,0.7761,0.5067
171,0.7773,0.4946
172,0.7779,0.5180
173,0.7780,0.4303
174,0.7792,0.5114
175,0.7790,0.4952
176,0.7805,0.4366
177,0.7799,0.4979
178,0.7796,0.4307
179,0.7804,0.4583
180,0.7803,0.5165
181,0.7816,0.4365
182,0.7818,0.4911
183,0.7826,0.4439
184,0.7832,0.5392
185,0.7835,0.4663
186,0.7843,0.4409
187,0.7841,0.3690
188,0.7845,0.4688
189,0.7854,0.3583
190,0.7848,0.5112
191,0.7865,0.5062
192,0.7861,0.3369
193,0.7865,0.5291
194,0.7866,0.4245
195,0.7876,0.3920
196,0.7882,0.4891
197,0.7879,0.4632
198,0.7887,0.4407
199,0.7887,0.4925
200,0.7891,0.4618
201,0.7893,0.3548
202,0.7901,0.5159
203,0.7904,0.4699
204,0.7907,0.3990
205,0.7905,0.4232
206,0.7916,0.5033
207,0.7918,0.5610
208,0.7921,0.5211
209,0.7925,0.4053
210,0.7928,0.4657
211,0.7935,0.4426
212,0.7936,0.2900
213,0.7943,0.4426
214,0.7947,0.4561
215,0.7948,0.5292
216,0.7950,0.3514
217,0.7952,0.3699
218,0.7957,0.5603
219,0.7959,0.5331
220,0.7966,0.4367
221,0.7972,0.4354
222,0.7971,0.5204
223,0.7969,0.4980
224,0.7984,0.4342
225,0.7981,0.3386
226,0.7986,0.4540
227,0.7991,0.4816
228,0.7988,0.4672
229,0.7997,0.4352
