Epoch,IOU_Train,IOU_Val
0,0.5221,0.4570
1,0.5590,0.5525
2,0.5698,0.5609
3,0.5774,0.5480
4,0.5837,0.5482
5,0.5900,0.5591
6,0.5950,0.5301
7,0.5996,0.5355
8,0.6036,0.5260
9,0.6073,0.5405
10,0.6118,0.5595
11,0.6160,0.5251
12,0.6196,0.5360
13,0.6213,0.5295
14,0.6263,0.5646
15,0.6288,0.5334
16,0.6326,0.5311
17,0.6364,0.4906
18,0.6390,0.4811
19,0.6433,0.4207
20,0.6456,0.5613
21,0.6490,0.5123
22,0.6515,0.4834
23,0.6540,0.5457
24,0.6574,0.4564
25,0.6616,0.4333
26,0.6615,0.4455
27,0.6660,0.4446
28,0.6676,0.5247
29,0.6700,0.5612
30,0.6729,0.4916
31,0.6741,0.5310
32,0.6758,0.4995
33,0.6782,0.4750
34,0.6791,0.4653
35,0.6819,0.5220
36,0.6825,0.5111
37,0.6845,0.5646
38,0.6858,0.4284
39,0.6879,0.4943
40,0.6892,0.5587
41,0.6894,0.4155
42,0.6920,0.4864
43,0.6932,0.5012
44,0.6940,0.5316
45,0.6963,0.5094
46,0.6974,0.4824
47,0.6981,0.5412
48,0.6981,0.5204
49,0.7000,0.5200
50,0.7013,0.4693
51,0.7026,0.5042
52,0.7046,0.3699
53,0.7050,0.5388
54,0.7060,0.4554
55,0.7066,0.3309
56,0.7073,0.4191
57,0.7086,0.3681
58,0.7091,0.4746
59,0.7118,0.5553
60,0.7109,0.5092
61,0.7117,0.4596
62,0.7140,0.5290
63,0.7129,0.5624
64,0.7160,0.4832
65,0.7164,0.4291
66,0.7167,0.4967
67,0.7177,0.5463
68,0.7177,0.4738
69,0.7189,0.3341
70,0.7209,0.4582
71,0.7209,0.4308
72,0.7219,0.3888
73,0.7230,0.4865
74,0.7236,0.4581
75,0.7242,0.5373
76,0.7247,0.4710
77,0.7257,0.4617
78,0.7257,0.2982
79,0.7275,0.4723
80,0.7283,0.4983
81,0.7288,0.5128
82,0.7304,0.3873
83,0.7299,0.5654
84,0.7319,0.5300
85,0.7318,0.4827
86,0.7325,0.4775
87,0.7330,0.4344
88,0.7351,0.5377
89,0.7342,0.4787
90,0.7380,0.4568
91,0.7371,0.4806
92,0.7385,0.5490
93,0.7396,0.5124
94,0.7400,0.4668
95,0.7414,0.4193
96,0.7423,0.4846
97,0.7443,0.4989
98,0.7441,0.3809
99,0.7463,0.4498
100,0.7469,0.4685
101,0.7485,0.4186
102,0.7496,0.4637
103,0.7502,0.3213
104,0.7515,0.5103
105,0.7528,0.5143
106,0.7538,0.5080
107,0.7558,0.4448
108,0.7564,0.5577
109,0.7578,0.4914
110,0.7593,0.4865
111,0.7601,0.3181
112,0.7617,0.4376
113,0.7618,0.5446
114,0.7631,0.3824
115,0.7636,0.3256
116,0.7652,0.4301
117,0.7665,0.4258
118,0.7671,0.4430
119,0.7683,0.4831
120,0.7685,0.2548
121,0.7699,0.4130
122,0.7704,0.3399
123,0.7718,0.3253
124,0.7726,0.5130
125,0.7731,0.4502
126,0.7734,0.4034
127,0.7751,0.3775
128,0.7757,0.5007
129,0.7764,0.5100
130,0.7764,0.3773
131,0.7776,0.4432
132,0.7782,0.3336
133,0.7789,0.4091
134,0.7799,0.4051
135,0.7804,0.4130
136,0.7818,0.3437
137,0.7815,0.2873
138,0.7825,0.2861
139,0.7827,0.2625
140,0.7830,0.2525
141,0.7843,0.3709
142,0.7855,0.4796
143,0.7856,0.4332
144,0.7862,0.4167
145,0.7874,0.3766
146,0.7872,0.4124
147,0.7882,0.3792
148,0.7880,0.4548
149,0.7891,0.2088
150,0.7890,0.3349
151,0.7898,0.2972
152,0.7907,0.5000
153,0.7913,0.4042
154,0.7916,0.4586
155,0.7920,0.4985
156,0.7926,0.3965
157,0.7935,0.3872
158,0.7937,0.4184
159,0.7942,0.4595
160,0.7946,0.4533
161,0.7952,0.4319
162,0.7959,0.2546
163,0.7963,0.4933
164,0.7966,0.3669
165,0.7978,0.5448
166,0.7983,0.4015
167,0.7978,0.4383
168,0.7987,0.4993
169,0.7987,0.4712
170,0.7997,0.4197
171,0.8003,0.4876
172,0.8006,0.4018
173,0.8015,0.3349
174,0.8018,0.4191
175,0.8021,0.3805
176,0.8027,0.5012
177,0.8030,0.2530
178,0.8027,0.4726
179,0.8038,0.2874
180,0.8047,0.3406
181,0.8048,0.3599
182,0.8056,0.4453
183,0.8057,0.4003
184,0.8061,0.3463
185,0.8067,0.3676
186,0.8068,0.4257
187,0.8070,0.3376
188,0.8080,0.4727
189,0.8085,0.4600
190,0.8088,0.5198
191,0.8095,0.4730
192,0.8095,0.3919
193,0.8100,0.4373
194,0.8108,0.4014
195,0.8107,0.4250
196,0.8113,0.3585
197,0.8126,0.4117
198,0.8120,0.2723
199,0.8124,0.4030
200,0.8129,0.3147
201,0.8130,0.3641
202,0.8138,0.4165
203,0.8141,0.4017
204,0.8149,0.4217
205,0.8152,0.4654
206,0.8153,0.3416
207,0.8154,0.3439
208,0.8161,0.3684
209,0.8171,0.4215
210,0.8166,0.5227
211,0.8173,0.3391
212,0.8179,0.4625
213,0.8180,0.3727
214,0.8182,0.4268
215,0.8188,0.3080
216,0.8191,0.5223
217,0.8191,0.3421
218,0.8202,0.4398
219,0.8199,0.3704
220,0.8205,0.3934
221,0.8210,0.4105
222,0.8219,0.4479
223,0.8221,0.4536
224,0.8222,0.4053
225,0.8228,0.2266
226,0.8229,0.3364
227,0.8238,0.4349
228,0.8235,0.3423
229,0.8244,0.4046
230,0.8244,0.4118
231,0.8249,0.4341
232,0.8253,0.4368
233,0.8254,0.2994
234,0.8258,0.3346
235,0.8264,0.4346
236,0.8262,0.3414
237,0.8271,0.4992
238,0.8271,0.2966
239,0.8282,0.4229
240,0.8276,0.4296
241,0.8280,0.3629
242,0.8277,0.2142
243,0.8292,0.3859
244,0.8299,0.4409
245,0.8298,0.3151
246,0.8297,0.4354
247,0.8306,0.3933
248,0.8304,0.4547
249,0.8314,0.2299
250,0.8305,0.3645
251,0.8318,0.3847
252,0.8318,0.3826
253,0.8323,0.4948
254,0.8318,0.4421
255,0.8331,0.4477
256,0.8331,0.2846
257,0.8338,0.3962
258,0.8336,0.3696
259,0.8349,0.2960
260,0.8341,0.4305
261,0.8345,0.3474
262,0.8355,0.5248
263,0.8353,0.4523
264,0.8360,0.3672
265,0.8361,0.2409
266,0.8358,0.2859
267,0.8374,0.4244
268,0.8371,0.3911
269,0.8378,0.4597
270,0.8373,0.3847
271,0.8380,0.3392
272,0.8378,0.4046
273,0.8382,0.3735
274,0.8393,0.3491
275,0.8395,0.4225
276,0.8393,0.4066
277,0.8403,0.4631
278,0.8405,0.2510
279,0.8400,0.4403
280,0.8412,0.4455
281,0.8409,0.2715
282,0.8414,0.3689
283,0.8416,0.4743
284,0.8424,0.4345
285,0.8427,0.4511
286,0.8424,0.4391
287,0.8425,0.3710
288,0.8437,0.3766
289,0.8441,0.4507
290,0.8435,0.4089
291,0.8434,0.3260
292,0.8443,0.2714
293,0.8450,0.4471
294,0.8439,0.3230
295,0.8450,0.5210
296,0.8456,0.3015
297,0.8455,0.4650
298,0.8452,0.4666
299,0.8467,0.3928
300,0.8457,0.4381
301,0.8480,0.3813
302,0.8475,0.2939
303,0.8478,0.4068
304,0.8479,0.3117
305,0.8490,0.4854
306,0.8481,0.3178
307,0.8484,0.4467
308,0.8488,0.4354
309,0.8492,0.5098
310,0.8498,0.4430
311,0.8507,0.2972
312,0.8507,0.3513
313,0.8501,0.3582
314,0.8508,0.3910
315,0.8510,0.3260
316,0.8514,0.2815
317,0.8517,0.4303
318,0.8523,0.4695
319,0.8514,0.4976
320,0.8523,0.4961
321,0.8529,0.2778
322,0.8530,0.4454
323,0.8536,0.3872
324,0.8532,0.4479
325,0.8534,0.2821
326,0.8543,0.3674
327,0.8545,0.3321
328,0.8550,0.4418
329,0.8551,0.4274
330,0.8560,0.4157
331,0.8551,0.2920
332,0.8556,0.3641
333,0.8559,0.4082
334,0.8567,0.3690
335,0.8567,0.3289
336,0.8569,0.4089
337,0.8571,0.3441
338,0.8572,0.4016
339,0.8579,0.4470
340,0.8575,0.5066
341,0.8580,0.3525
342,0.8583,0.4232
343,0.8592,0.3890
344,0.8591,0.4279
345,0.8582,0.2979
346,0.8593,0.3839
347,0.8605,0.4401
348,0.8590,0.2975
349,0.8605,0.4198
350,0.8592,0.5119
351,0.8620,0.3215
352,0.8609,0.3701
353,0.8610,0.4696
354,0.8612,0.4211
355,0.8620,0.2735
356,0.8622,0.3323
357,0.8617,0.4478
358,0.8627,0.4649
359,0.8632,0.3617
360,0.8632,0.4446
361,0.8634,0.3852
362,0.8636,0.3519
363,0.8640,0.3027
364,0.8640,0.4045
365,0.8640,0.2935
366,0.8639,0.3760
367,0.8652,0.4207
368,0.8650,0.3808
369,0.8648,0.2844
370,0.8654,0.3618
371,0.8653,0.2959
372,0.8657,0.3508
373,0.8666,0.4118
374,0.8660,0.4415
375,0.8670,0.3813
376,0.8663,0.3380
377,0.8670,0.2301
378,0.8671,0.4222
379,0.8670,0.2549
380,0.8665,0.3453
381,0.8678,0.4328
382,0.8679,0.4044
383,0.8683,0.3645
384,0.8687,0.3539
385,0.8684,0.4281
386,0.8674,0.3812
387,0.8701,0.3225
388,0.8703,0.4200
389,0.8699,0.2954
390,0.8705,0.3671
391,0.8700,0.3867
392,0.8702,0.4035
393,0.8705,0.3116
394,0.8704,0.4338
395,0.8708,0.3080
396,0.8712,0.3837
397,0.8703,0.3240
398,0.8720,0.4680
399,0.8711,0.2820
400,0.8719,0.2671
401,0.8725,0.3289
402,0.8720,0.4231
403,0.8725,0.4693
404,0.8718,0.3295
405,0.8759,0.4174
406,0.8734,0.3094
407,0.8737,0.4516
408,0.8738,0.4705
409,0.8747,0.3737
410,0.8743,0.3574
411,0.8743,0.4070
412,0.8753,0.4631
413,0.8745,0.2949
414,0.8765,0.3302
415,0.8750,0.3768
416,0.8754,0.3309
417,0.8750,0.2101
418,0.8760,0.3445
419,0.8760,0.3127
420,0.8769,0.2942
421,0.8759,0.3235
422,0.8763,0.4336
423,0.8771,0.2966
424,0.8773,0.4251
425,0.8766,0.3954
426,0.8775,0.4592
427,0.8772,0.3930
428,0.8767,0.2484
429,0.8793,0.3979
430,0.8771,0.4738
431,0.8788,0.3194
432,0.8770,0.2963
433,0.8796,0.1935
434,0.8788,0.3907
435,0.8790,0.4056
436,0.8788,0.2807
437,0.8793,0.3425
438,0.8799,0.4091
439,0.8799,0.2854
440,0.8796,0.3709
441,0.8800,0.2096
442,0.8806,0.3804
443,0.8820,0.4323
444,0.8802,0.3772
445,0.8814,0.3645
446,0.8817,0.3478
447,0.8814,0.4237
448,0.8806,0.4442
449,0.8828,0.4755
450,0.8819,0.4266
451,0.8822,0.3816
452,0.8823,0.3897
453,0.8839,0.3982
454,0.8826,0.4248
455,0.8829,0.2805
456,0.8832,0.3385
457,0.8841,0.4696
458,0.8835,0.4466
459,0.8841,0.3839
460,0.8841,0.4526
461,0.8842,0.3335
462,0.8850,0.3394
463,0.8846,0.2692
464,0.8846,0.3369
465,0.8857,0.3409
466,0.8853,0.2888
467,0.8857,0.3715
468,0.8853,0.2402
469,0.8853,0.2521
470,0.8856,0.3850
471,0.8856,0.3970
472,0.8869,0.4343
473,0.8866,0.2124
474,0.8859,0.3765
475,0.8880,0.3928
476,0.8866,0.3140
477,0.8869,0.3437
478,0.8860,0.3790
479,0.8877,0.3053
480,0.8886,0.2955
481,0.8873,0.3777
482,0.8880,0.2109
483,0.8880,0.3919
484,0.8881,0.2513
485,0.8889,0.3507
486,0.8891,0.4208
487,0.8888,0.3286
488,0.8880,0.3425
489,0.8901,0.3461
490,0.8889,0.2996
491,0.8898,0.3774
492,0.8897,0.3174
493,0.8902,0.3684
494,0.8906,0.3678
495,0.8903,0.4055
496,0.8906,0.2218
497,0.8904,0.4019
498,0.8904,0.3416
499,0.8914,0.3565
500,0.8906,0.3581
501,0.8910,0.2529
502,0.8898,0.1318
503,0.8926,0.3852
504,0.8932,0.3913
505,0.8903,0.4266
506,0.8927,0.3498
507,0.8927,0.2028
508,0.8915,0.2975
509,0.8915,0.2451
510,0.8932,0.3364
511,0.8923,0.3267
512,0.8927,0.4292
513,0.8916,0.3198
514,0.8930,0.2409
515,0.8933,0.4134
516,0.8908,0.3920
517,0.8948,0.3874
518,0.8940,0.3726
519,0.8930,0.4074
520,0.8933,0.3609
521,0.8946,0.3552
522,0.8934,0.4187
523,0.8947,0.2885
524,0.8942,0.4741
525,0.8951,0.2586
526,0.8950,0.4083
527,0.8947,0.2318
528,0.8949,0.2259
529,0.8938,0.4279
530,0.8963,0.4723
531,0.8962,0.3765
532,0.8957,0.3699
533,0.8963,0.2336
534,0.8958,0.4448
535,0.8960,0.2508
536,0.8959,0.4117
537,0.8963,0.3067
538,0.8964,0.4054
539,0.8969,0.4196
540,0.8955,0.2832
541,0.8982,0.4602
542,0.8971,0.1951
543,0.8972,0.4980
544,0.8974,0.3454
545,0.8955,0.4202
546,0.8986,0.4011
547,0.8967,0.3376
548,0.8990,0.3589
549,0.8986,0.4029
550,0.8980,0.3552
551,0.8984,0.3695
552,0.8987,0.3614
553,0.8983,0.3307
554,0.8992,0.3855
555,0.8991,0.1838
556,0.8988,0.3269
557,0.8988,0.3611
558,0.8975,0.4500
559,0.9011,0.2984
560,0.9008,0.4446
561,0.8999,0.2311
562,0.8997,0.2401
563,0.9006,0.3370
564,0.9000,0.2581
565,0.9008,0.3708
566,0.8997,0.3538
567,0.9028,0.3440
568,0.9000,0.2547
569,0.9007,0.4565
570,0.9008,0.3170
571,0.9003,0.4896
572,0.9033,0.3722
573,0.9007,0.2883
574,0.9009,0.2300
575,0.9034,0.3947
576,0.8970,0.4066
577,0.9058,0.3453
578,0.9025,0.3341
579,0.9029,0.4314
580,0.9023,0.3600
581,0.9019,0.2361
582,0.9028,0.3101
583,0.9024,0.3595
584,0.9032,0.3775
585,0.9032,0.4131
586,0.9022,0.2622
587,0.9027,0.4049
588,0.9029,0.4388
589,0.9035,0.4728
590,0.9029,0.4094
591,0.9032,0.3434
592,0.9034,0.3958
593,0.9037,0.4929
594,0.9041,0.2890
595,0.9039,0.3023
596,0.9050,0.3517
597,0.9045,0.4641
598,0.9044,0.3886
599,0.9054,0.2816
600,0.9050,0.3098
601,0.9052,0.4267
602,0.9046,0.2537
603,0.9059,0.2628
604,0.9042,0.2745
605,0.9059,0.3723
606,0.9088,0.4430
607,0.9061,0.2297
608,0.9061,0.3214
609,0.9062,0.3225
