Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.378129,0.5208,0.4972,41.28
1,0.332781,0.5535,0.5370,36.69
2,0.315852,0.5660,0.4606,36.73
3,0.302485,0.5729,0.4743,36.70
4,0.290753,0.5788,0.4205,36.86
5,0.282012,0.5848,0.4900,36.57
6,0.271241,0.5887,0.4782,36.74
7,0.265205,0.5924,0.4928,36.60
8,0.258899,0.5978,0.4673,38.18
9,0.252561,0.5999,0.4732,36.56
10,0.246812,0.6034,0.4777,36.63
11,0.242930,0.6066,0.4709,36.70
12,0.240769,0.6072,0.4385,36.61
13,0.233781,0.6108,0.3302,36.54
14,0.231795,0.6120,0.4116,36.89
15,0.226738,0.6159,0.4130,36.74
16,0.224406,0.6171,0.3681,36.93
17,0.219001,0.6210,0.4218,36.72
18,0.218234,0.6221,0.2793,36.78
19,0.215653,0.6242,0.5218,36.89
20,0.210444,0.6270,0.5371,36.66
21,0.209373,0.6279,0.4238,36.63
22,0.207502,0.6292,0.5020,36.58
23,0.204710,0.6309,0.4837,36.57
24,0.202267,0.6335,0.4941,37.12
25,0.199889,0.6353,0.5157,36.68
26,0.200170,0.6354,0.3141,36.67
27,0.196962,0.6372,0.5000,36.63
28,0.197007,0.6380,0.4858,36.68
29,0.193237,0.6410,0.4139,36.77
30,0.191779,0.6416,0.3243,36.68
31,0.189647,0.6443,0.4383,36.70
32,0.190117,0.6441,0.4562,36.61
33,0.186558,0.6470,0.3388,36.57
34,0.186013,0.6478,0.2856,36.63
35,0.184700,0.6487,0.5196,36.95
36,0.181938,0.6510,0.3011,36.69
37,0.182986,0.6506,0.4543,36.68
38,0.179575,0.6536,0.2480,36.66
39,0.179843,0.6537,0.3575,36.68
40,0.177863,0.6557,0.1569,36.67
41,0.177210,0.6561,0.4876,36.70
42,0.176010,0.6567,0.3239,36.64
43,0.174588,0.6584,0.3955,36.70
44,0.174818,0.6583,0.5099,36.84
45,0.172646,0.6611,0.1916,36.69
46,0.171231,0.6618,0.4455,36.97
47,0.171941,0.6619,0.4121,36.60
48,0.170204,0.6628,0.4239,36.61
49,0.169076,0.6644,0.3777,36.67
50,0.166859,0.6671,0.4595,36.80
51,0.168360,0.6651,0.4230,36.63
52,0.165625,0.6680,0.4355,36.62
53,0.166205,0.6671,0.4519,36.64
54,0.165651,0.6676,0.2899,36.61
55,0.163250,0.6706,0.2251,36.82
56,0.162503,0.6705,0.4628,36.68
57,0.162316,0.6711,0.2241,36.69
58,0.162059,0.6711,0.4376,36.96
59,0.159610,0.6745,0.4975,36.69
60,0.160365,0.6736,0.5064,36.75
61,0.159777,0.6743,0.4494,36.82
62,0.159133,0.6748,0.4848,36.62
63,0.157842,0.6764,0.4359,36.67
64,0.157695,0.6772,0.4813,36.75
65,0.157988,0.6776,0.3183,36.67
66,0.157796,0.6766,0.4207,36.68
67,0.155730,0.6787,0.4035,36.81
68,0.156179,0.6785,0.3980,36.72
69,0.154113,0.6803,0.3089,36.72
70,0.153852,0.6811,0.4641,36.80
71,0.154009,0.6807,0.4731,37.26
72,0.153545,0.6810,0.5338,36.77
73,0.153017,0.6819,0.4584,36.81
74,0.153010,0.6821,0.4613,36.88
75,0.150641,0.6849,0.4427,36.68
76,0.150931,0.6846,0.4276,37.58
77,0.148982,0.6869,0.4891,36.72
78,0.149702,0.6864,0.1630,37.02
79,0.149547,0.6860,0.4334,36.84
80,0.148215,0.6874,0.4248,36.98
81,0.148774,0.6870,0.3945,36.71
82,0.148064,0.6882,0.2694,36.84
83,0.147793,0.6880,0.5001,36.93
84,0.147842,0.6881,0.4213,37.08
85,0.146473,0.6898,0.3586,36.97
86,0.146870,0.6890,0.2173,36.60
87,0.146168,0.6904,0.4021,37.05
88,0.146465,0.6896,0.5088,36.72
89,0.145407,0.6914,0.4293,36.87
90,0.145275,0.6913,0.3851,36.77
91,0.144521,0.6928,0.4964,36.71
92,0.145553,0.6916,0.4258,36.65
93,0.143144,0.6940,0.4473,36.80
94,0.143012,0.6945,0.3396,36.79
95,0.142015,0.6952,0.4967,36.87
96,0.141833,0.6956,0.5100,37.02
97,0.142147,0.6955,0.4345,36.84
98,0.142268,0.6952,0.4032,36.64
99,0.141639,0.6961,0.4779,37.02
100,0.141756,0.6960,0.4690,36.83
101,0.140587,0.6970,0.2410,36.86
102,0.140864,0.6971,0.2781,36.77
103,0.140452,0.6975,0.4272,36.75
104,0.139521,0.6982,0.3868,36.66
105,0.139199,0.6989,0.2849,36.80
106,0.139216,0.6993,0.4653,36.65
107,0.139799,0.6983,0.4358,36.87
108,0.138187,0.7002,0.3574,36.58
109,0.138595,0.7000,0.1912,36.71
110,0.137627,0.7012,0.1861,36.80
111,0.137580,0.7007,0.2224,36.94
112,0.137596,0.7013,0.3322,36.79
113,0.137244,0.7015,0.4582,36.74
114,0.136641,0.7023,0.4506,36.68
115,0.136287,0.7025,0.4762,36.65
116,0.136434,0.7027,0.4320,36.86
117,0.135990,0.7032,0.3499,36.64
118,0.135806,0.7036,0.4901,36.69
119,0.134436,0.7053,0.3947,36.66
120,0.135811,0.7036,0.2333,36.77
121,0.135159,0.7045,0.3039,36.83
122,0.134268,0.7058,0.4173,36.93
123,0.135358,0.7047,0.5350,36.82
124,0.133633,0.7063,0.5065,37.19
125,0.133920,0.7059,0.2067,36.84
126,0.133371,0.7071,0.4550,38.45
127,0.133472,0.7062,0.4102,36.67
128,0.133375,0.7069,0.2642,36.82
129,0.132897,0.7077,0.1672,36.62
130,0.133940,0.7065,0.2065,36.65
131,0.133792,0.7061,0.4702,36.67
132,0.133092,0.7073,0.4809,36.64
133,0.132909,0.7077,0.3475,41.30
134,0.131350,0.7096,0.2983,36.96
135,0.132040,0.7085,0.4538,36.73
136,0.131019,0.7096,0.4534,36.71
137,0.131597,0.7091,0.3144,36.70
138,0.131131,0.7098,0.4367,37.15
139,0.131763,0.7089,0.4772,36.76
140,0.130298,0.7108,0.4569,36.87
141,0.130135,0.7114,0.2373,36.85
142,0.129601,0.7123,0.4524,36.68
143,0.129905,0.7115,0.4736,36.73
144,0.129160,0.7126,0.4353,36.82
145,0.129123,0.7129,0.3833,36.72
146,0.128891,0.7127,0.4740,36.79
147,0.128707,0.7131,0.2844,37.03
148,0.128717,0.7137,0.4687,37.04
149,0.129339,0.7123,0.4700,36.94
150,0.128206,0.7141,0.3966,36.88
151,0.128745,0.7137,0.5018,37.39
152,0.128511,0.7139,0.2713,36.92
153,0.127570,0.7151,0.4839,36.75
154,0.127415,0.7152,0.4199,36.75
155,0.126729,0.7157,0.3546,36.84
156,0.127247,0.7153,0.4655,36.74
157,0.127767,0.7147,0.3664,36.72
158,0.126155,0.7170,0.4597,36.71
159,0.126667,0.7161,0.2932,36.65
160,0.126735,0.7162,0.4173,36.83
161,0.126442,0.7163,0.3996,36.66
162,0.126161,0.7168,0.2431,36.71
163,0.126386,0.7159,0.4196,36.78
164,0.126178,0.7167,0.3986,36.75
165,0.125834,0.7172,0.2902,36.67
166,0.125162,0.7185,0.3814,36.61
167,0.125516,0.7175,0.3795,36.62
168,0.125784,0.7178,0.4290,36.81
169,0.124368,0.7194,0.4241,36.74
170,0.125255,0.7181,0.4016,37.13
171,0.124609,0.7194,0.4382,36.62
172,0.124861,0.7189,0.4677,36.63
173,0.123364,0.7208,0.3185,36.63
174,0.123887,0.7200,0.4857,36.70
175,0.123091,0.7217,0.4393,36.90
176,0.124586,0.7194,0.2795,36.66
177,0.123377,0.7207,0.3444,36.64
178,0.124135,0.7198,0.4160,37.25
179,0.123757,0.7205,0.3039,36.81
180,0.122517,0.7218,0.2579,40.15
181,0.122698,0.7220,0.4840,37.98
182,0.122880,0.7212,0.2875,36.71
183,0.123543,0.7209,0.4526,37.04
184,0.121831,0.7230,0.4990,36.74
185,0.123034,0.7213,0.4823,36.70
186,0.121531,0.7236,0.4478,37.01
187,0.122045,0.7229,0.4418,36.79
188,0.121998,0.7227,0.4731,36.76
189,0.122583,0.7221,0.4466,37.13
190,0.121925,0.7229,0.4637,37.18
191,0.121427,0.7241,0.4802,36.73
192,0.121242,0.7239,0.4268,36.64
193,0.121350,0.7235,0.3914,36.64
194,0.121084,0.7243,0.3969,36.75
195,0.120667,0.7250,0.3725,36.82
196,0.120839,0.7245,0.4831,36.68
197,0.120706,0.7250,0.3410,37.19
198,0.120207,0.7255,0.3493,36.90
199,0.120664,0.7246,0.4405,37.06
200,0.120181,0.7255,0.3784,36.83
201,0.120225,0.7255,0.4039,36.87
202,0.120009,0.7262,0.3972,36.74
203,0.120345,0.7255,0.2779,36.61
204,0.119939,0.7258,0.1738,36.73
205,0.120060,0.7259,0.4539,36.69
206,0.119236,0.7270,0.2799,36.77
207,0.119806,0.7264,0.3194,36.73
208,0.119380,0.7266,0.4261,36.66
209,0.120055,0.7258,0.4240,36.70
210,0.119435,0.7268,0.3961,36.84
211,0.119746,0.7265,0.3963,36.61
212,0.118418,0.7281,0.3874,36.63
213,0.119368,0.7269,0.3037,36.87
214,0.118100,0.7288,0.3873,36.78
215,0.118817,0.7278,0.2097,36.74
216,0.118767,0.7279,0.4477,36.74
217,0.118042,0.7284,0.3519,36.60
218,0.118004,0.7290,0.2612,36.81
219,0.118299,0.7284,0.2911,36.66
220,0.118272,0.7287,0.5077,36.67
221,0.117864,0.7289,0.3992,36.61
222,0.117792,0.7294,0.4254,36.76
223,0.117307,0.7302,0.2949,36.87
224,0.117337,0.7299,0.3724,36.63
225,0.117370,0.7299,0.2816,36.74
226,0.117020,0.7304,0.4332,36.69
227,0.116927,0.7307,0.4574,36.77
228,0.116323,0.7318,0.3362,36.84
229,0.117182,0.7304,0.4925,36.69
230,0.116186,0.7320,0.4725,36.64
231,0.116589,0.7311,0.3765,36.75
232,0.116301,0.7315,0.2917,36.83
233,0.116150,0.7320,0.4857,36.81
234,0.115927,0.7326,0.3691,36.70
235,0.115786,0.7326,0.3378,36.72
236,0.115929,0.7325,0.4069,36.71
237,0.115805,0.7326,0.2852,36.65
238,0.115029,0.7332,0.4378,36.71
239,0.115272,0.7333,0.2998,36.76
240,0.115333,0.7332,0.4396,36.99
241,0.115541,0.7329,0.2638,36.92
242,0.114435,0.7346,0.3205,36.72
243,0.114692,0.7339,0.1796,37.03
244,0.114986,0.7336,0.2734,36.70
245,0.114387,0.7347,0.4044,36.68
246,0.113940,0.7353,0.4624,37.04
247,0.113984,0.7350,0.2686,36.98
248,0.113914,0.7352,0.4598,36.69
249,0.114733,0.7340,0.4010,36.71
