imagen,modelo,pixeles_incendio,total_pixeles,porcentaje_incendio
13_24_San Isidro_Veracruz_bloque_11_x68_y161.tiff,model_final.pth,4205,16384,25.6653
13_24_San Isidro_Veracruz_bloque_3_x0_y64.tiff,model_final.pth,6615,16384,40.3748
14_24_La Concordia_Chiapas_bloque_0_x0_y0.tiff,model_final.pth,3265,16384,19.928
14_24_La Concordia_Chiapas_bloque_4_x0_y64.tiff,model_final.pth,2908,16384,17.749
14_24_Llano Grande_Chiapas_bloque_16_x64_y179.tiff,model_final.pth,66,16384,0.4028
14_24_Llano Grande_Chiapas_bloque_18_x192_y179.tiff,model_final.pth,738,16384,4.5044
14_24_Llano Grande_Chiapas_bloque_3_x192_y0.tiff,model_final.pth,31,16384,0.1892
14_24_Llano Grande_Chiapas_bloque_5_x0_y64.tiff,model_final.pth,168,16384,1.0254
14_24_Villa Hidalgo_Chiapas_bloque_13_x64_y128.tiff,model_final.pth,3639,16384,22.2107
14_24_Villa Hidalgo_Chiapas_bloque_16_x256_y128.tiff,model_final.pth,1311,16384,8.0017
14_24_Villa Hidalgo_Chiapas_bloque_17_x317_y128.tiff,model_final.pth,467,16384,2.8503
14_24_Villa Hidalgo_Chiapas_bloque_19_x64_y192.tiff,model_final.pth,2217,16384,13.5315
14_24_Villa Hidalgo_Chiapas_bloque_25_x128_y239.tiff,model_final.pth,1279,16384,7.8064
14_Ejido de Vergel_Durango_bloque_15_x0_y128.tiff,model_final.pth,348,16384,2.124
14_Ejido de Vergel_Durango_bloque_23_x499_y128.tiff,model_final.pth,2151,16384,13.1287
14_Ejido de Vergel_Durango_bloque_24_x0_y192.tiff,model_final.pth,292,16384,1.7822
14_Ejido de Vergel_Durango_bloque_27_x192_y192.tiff,model_final.pth,648,16384,3.9551
14_Ejido de Vergel_Durango_bloque_29_x320_y192.tiff,model_final.pth,1839,16384,11.2244
14_Ejido de Vergel_Durango_bloque_32_x499_y192.tiff,model_final.pth,816,16384,4.9805
