Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.379536,0.5262,0.4766,92.79
1,0.324185,0.5666,0.5299,81.65
2,0.300713,0.5818,0.5137,81.44
3,0.283487,0.5924,0.5123,81.43
4,0.269666,0.5989,0.5048,81.47
5,0.258277,0.6067,0.5407,81.46
6,0.244762,0.6139,0.4287,81.41
7,0.238508,0.6191,0.4679,81.41
8,0.229457,0.6243,0.5034,81.40
9,0.223192,0.6284,0.5105,81.42
10,0.215427,0.6331,0.4689,81.49
11,0.210086,0.6385,0.4861,81.49
12,0.205487,0.6414,0.5491,81.51
13,0.199216,0.6461,0.3817,81.54
14,0.195414,0.6486,0.4413,81.62
15,0.191244,0.6527,0.3986,81.53
16,0.189182,0.6542,0.4909,81.52
17,0.183223,0.6590,0.3935,81.55
18,0.181262,0.6610,0.4045,81.94
19,0.176565,0.6638,0.5378,81.57
20,0.174291,0.6669,0.3874,81.70
21,0.170982,0.6693,0.3740,81.61
22,0.169696,0.6713,0.4735,81.69
23,0.166373,0.6744,0.5225,81.64
24,0.164003,0.6755,0.5187,81.62
25,0.161689,0.6783,0.4679,81.70
26,0.159315,0.6818,0.4668,81.63
27,0.159297,0.6813,0.5165,81.71
28,0.156407,0.6839,0.3424,81.69
29,0.154023,0.6861,0.3905,81.65
30,0.153691,0.6874,0.4208,81.67
31,0.151334,0.6896,0.5362,81.66
32,0.150311,0.6910,0.4866,81.69
33,0.147886,0.6929,0.3456,81.66
34,0.148320,0.6931,0.4806,81.64
35,0.146212,0.6955,0.5013,81.65
36,0.146093,0.6957,0.5093,81.66
37,0.143759,0.6985,0.4949,81.68
38,0.142693,0.6991,0.3339,81.68
39,0.142112,0.7002,0.3506,81.67
40,0.140815,0.7011,0.2955,81.67
41,0.138665,0.7042,0.3376,81.70
42,0.138953,0.7034,0.4349,81.71
43,0.138190,0.7049,0.4587,81.70
44,0.136313,0.7067,0.4629,81.69
45,0.136838,0.7062,0.4836,81.69
46,0.135785,0.7075,0.2394,81.68
47,0.135880,0.7083,0.4106,81.67
48,0.133861,0.7097,0.5136,81.72
49,0.133875,0.7104,0.3970,81.70
50,0.133540,0.7108,0.4041,81.73
51,0.131866,0.7128,0.3078,81.69
52,0.131128,0.7131,0.3903,81.73
53,0.130923,0.7141,0.3862,81.67
54,0.129686,0.7153,0.2965,81.68
55,0.128470,0.7169,0.4620,81.73
56,0.128306,0.7173,0.4300,81.76
57,0.127081,0.7185,0.4177,81.77
58,0.126440,0.7194,0.4250,81.72
59,0.126419,0.7199,0.3768,81.68
60,0.125399,0.7209,0.4177,81.69
61,0.124728,0.7221,0.3833,81.69
62,0.123718,0.7233,0.3211,81.71
63,0.124460,0.7228,0.2838,81.74
64,0.123234,0.7240,0.4565,81.73
65,0.122314,0.7249,0.4423,84.64
66,0.121591,0.7261,0.2946,84.74
67,0.120657,0.7275,0.4706,81.66
68,0.120723,0.7275,0.4461,81.70
69,0.119474,0.7291,0.4698,81.70
70,0.119421,0.7287,0.2337,81.74
71,0.119089,0.7296,0.5002,81.71
72,0.118758,0.7301,0.4846,81.68
73,0.117661,0.7313,0.3463,81.78
74,0.117410,0.7321,0.3893,81.70
75,0.117038,0.7328,0.4487,81.72
76,0.116661,0.7330,0.4550,81.70
77,0.115393,0.7347,0.5035,81.67
78,0.115015,0.7353,0.4611,81.71
79,0.114201,0.7364,0.4393,81.73
80,0.113816,0.7373,0.3610,81.68
81,0.113494,0.7378,0.4079,81.69
82,0.113854,0.7373,0.3218,81.80
83,0.112764,0.7388,0.5073,81.69
84,0.112867,0.7390,0.3771,81.70
85,0.111257,0.7412,0.3695,81.71
86,0.111198,0.7410,0.3444,81.69
87,0.111241,0.7413,0.2501,81.65
88,0.111199,0.7411,0.3137,81.69
89,0.110060,0.7428,0.4858,81.71
90,0.110174,0.7427,0.3053,81.70
91,0.109531,0.7437,0.4108,81.69
