Epoch,IOU_Train,IOU_Val
0,0.5239,0.5458
1,0.5591,0.5509
2,0.5728,0.5215
3,0.5830,0.5622
4,0.5885,0.5271
5,0.5966,0.5406
6,0.6009,0.5561
7,0.6064,0.5510
8,0.6109,0.5431
9,0.6150,0.5326
10,0.6183,0.5084
11,0.6223,0.5653
12,0.6251,0.4874
13,0.6303,0.5462
14,0.6334,0.5584
15,0.6361,0.5485
16,0.6410,0.5479
17,0.6427,0.5651
18,0.6462,0.5465
19,0.6485,0.5118
20,0.6538,0.4526
21,0.6558,0.5601
22,0.6584,0.4652
23,0.6600,0.5389
24,0.6637,0.5251
25,0.6650,0.5518
26,0.6688,0.5322
27,0.6703,0.5503
28,0.6728,0.5564
29,0.6739,0.5053
30,0.6764,0.5268
31,0.6786,0.5490
32,0.6788,0.5179
33,0.6820,0.5323
34,0.6843,0.5517
35,0.6855,0.5080
36,0.6860,0.5309
37,0.6892,0.5387
38,0.6904,0.5133
39,0.6917,0.4986
40,0.6930,0.5495
41,0.6926,0.4760
42,0.6944,0.5195
43,0.6967,0.4856
44,0.6967,0.4379
45,0.6990,0.5071
46,0.6990,0.5206
47,0.7001,0.5290
48,0.7018,0.4948
49,0.7026,0.4934
50,0.7038,0.5030
51,0.7039,0.5174
52,0.7061,0.4337
53,0.7064,0.5070
54,0.7068,0.5581
55,0.7088,0.5140
56,0.7095,0.5460
57,0.7103,0.4998
58,0.7126,0.4988
59,0.7124,0.5280
60,0.7135,0.5129
61,0.7152,0.5160
62,0.7136,0.4560
63,0.7165,0.4998
64,0.7166,0.4581
65,0.7181,0.4957
66,0.7187,0.5385
67,0.7200,0.5246
68,0.7201,0.4270
69,0.7221,0.5548
70,0.7217,0.5100
71,0.7225,0.5145
72,0.7247,0.5251
73,0.7251,0.4523
74,0.7251,0.5489
75,0.7257,0.5247
76,0.7260,0.4740
77,0.7275,0.5481
78,0.7287,0.5324
79,0.7283,0.5465
80,0.7295,0.3937
81,0.7302,0.4648
82,0.7314,0.3747
83,0.7326,0.5532
84,0.7324,0.4525
85,0.7340,0.5305
86,0.7346,0.4355
87,0.7364,0.4626
88,0.7364,0.4507
89,0.7370,0.5545
90,0.7375,0.5308
91,0.7385,0.4526
92,0.7390,0.4907
93,0.7406,0.4549
94,0.7410,0.4369
95,0.7420,0.4633
96,0.7416,0.4332
97,0.7441,0.4969
98,0.7455,0.3449
