Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.369660,0.5319,0.5467,24.94
1,0.326848,0.5639,0.5331,24.56
2,0.311684,0.5731,0.5460,24.61
3,0.296503,0.5833,0.5520,24.58
4,0.286076,0.5895,0.5588,24.55
5,0.272837,0.5971,0.5095,24.57
6,0.261468,0.6030,0.5515,24.55
7,0.253529,0.6097,0.5458,24.58
8,0.245873,0.6117,0.5550,24.59
9,0.240489,0.6153,0.5321,24.66
10,0.232329,0.6204,0.4097,24.59
11,0.227351,0.6232,0.5596,24.64
12,0.221021,0.6278,0.4935,24.60
13,0.215985,0.6323,0.5110,24.96
14,0.211043,0.6345,0.5159,27.13
15,0.206598,0.6384,0.4856,24.82
16,0.201941,0.6408,0.5556,24.81
17,0.198020,0.6450,0.5293,24.68
18,0.193997,0.6475,0.4489,24.87
19,0.192074,0.6507,0.5453,24.74
20,0.188781,0.6532,0.5046,24.65
21,0.186629,0.6546,0.4461,24.72
22,0.180845,0.6590,0.3150,24.63
23,0.181431,0.6595,0.4587,24.73
24,0.177020,0.6627,0.3960,24.63
25,0.174861,0.6643,0.4730,24.68
26,0.173460,0.6661,0.4748,24.70
27,0.169732,0.6694,0.5065,24.70
28,0.167985,0.6715,0.4569,24.71
29,0.165825,0.6731,0.2533,24.77
30,0.163845,0.6753,0.4116,24.70
31,0.162298,0.6774,0.4914,24.69
32,0.160227,0.6792,0.4362,24.81
33,0.157946,0.6812,0.3692,24.70
34,0.157991,0.6817,0.4824,24.70
35,0.155538,0.6847,0.4514,24.87
36,0.153472,0.6869,0.4293,24.75
37,0.153413,0.6867,0.4285,24.78
38,0.150425,0.6900,0.4469,24.80
39,0.149631,0.6903,0.3423,25.17
40,0.148837,0.6914,0.3597,24.75
41,0.146998,0.6936,0.3573,24.78
42,0.146070,0.6952,0.4554,25.09
43,0.144432,0.6965,0.3949,27.00
44,0.143822,0.6968,0.3265,27.56
45,0.142037,0.6993,0.2986,24.83
46,0.141432,0.7003,0.4323,24.71
47,0.140218,0.7021,0.3302,24.74
48,0.140424,0.7018,0.3667,24.71
49,0.138334,0.7049,0.4606,24.84
50,0.137607,0.7051,0.2888,24.79
51,0.136803,0.7062,0.4647,24.77
52,0.135940,0.7068,0.4629,24.60
53,0.134803,0.7080,0.3922,24.73
54,0.134500,0.7092,0.5444,24.84
55,0.133719,0.7098,0.5175,24.66
56,0.132030,0.7117,0.3481,24.83
57,0.132069,0.7125,0.4723,25.31
58,0.130265,0.7147,0.5543,24.67
59,0.130236,0.7146,0.5224,24.75
60,0.129027,0.7157,0.4666,24.88
61,0.128754,0.7168,0.3486,24.72
62,0.127330,0.7184,0.2363,24.65
63,0.126952,0.7188,0.4760,24.90
64,0.126822,0.7192,0.4179,24.74
65,0.126121,0.7204,0.4483,24.74
66,0.125083,0.7212,0.4814,24.74
67,0.124844,0.7218,0.4224,24.86
68,0.123575,0.7232,0.4471,24.84
69,0.123454,0.7232,0.3954,24.68
70,0.122112,0.7252,0.3929,24.76
71,0.122235,0.7251,0.4164,24.75
72,0.120162,0.7276,0.5420,24.90
73,0.120976,0.7276,0.4967,24.75
74,0.120096,0.7281,0.4224,24.76
75,0.119314,0.7293,0.3725,24.77
76,0.118366,0.7309,0.3145,24.81
77,0.118202,0.7315,0.4687,25.21
78,0.117705,0.7323,0.4779,24.80
79,0.117119,0.7329,0.3789,24.70
80,0.116050,0.7343,0.2740,24.96
81,0.116066,0.7343,0.4934,24.87
82,0.115005,0.7360,0.4321,24.70
83,0.114491,0.7367,0.5015,24.78
84,0.114022,0.7374,0.4237,24.98
85,0.113285,0.7384,0.3104,24.74
86,0.112338,0.7401,0.5042,24.80
87,0.112024,0.7409,0.4361,24.79
88,0.111598,0.7414,0.5309,24.82
89,0.111084,0.7421,0.4295,24.71
90,0.110473,0.7431,0.4412,24.76
91,0.109791,0.7440,0.3128,24.83
92,0.109224,0.7451,0.4504,24.81
93,0.108912,0.7456,0.4507,24.68
94,0.108662,0.7460,0.2913,24.93
95,0.108120,0.7474,0.4026,24.83
96,0.107232,0.7484,0.3688,24.74
97,0.107423,0.7481,0.2347,24.92
98,0.106503,0.7495,0.4675,24.76
99,0.106314,0.7498,0.5123,24.68
100,0.106053,0.7505,0.3549,24.80
101,0.105106,0.7520,0.4218,24.78
102,0.104626,0.7528,0.3442,24.84
103,0.104424,0.7530,0.2568,24.90
104,0.103478,0.7548,0.4256,24.72
105,0.103425,0.7551,0.4380,25.06
106,0.102256,0.7568,0.2184,24.93
107,0.101835,0.7577,0.3943,24.76
108,0.101628,0.7579,0.4390,24.76
109,0.101063,0.7588,0.3868,24.76
110,0.100231,0.7604,0.3406,24.75
111,0.100378,0.7600,0.4177,24.72
112,0.098780,0.7625,0.4171,24.89
