Epoch,IOU_Train,IOU_Val
0,0.5319,0.5467
1,0.5639,0.5331
2,0.5731,0.5460
3,0.5833,0.5520
4,0.5895,0.5588
5,0.5971,0.5095
6,0.6030,0.5515
7,0.6097,0.5458
8,0.6117,0.5550
9,0.6153,0.5321
10,0.6204,0.4097
11,0.6232,0.5596
12,0.6278,0.4935
13,0.6323,0.5110
14,0.6345,0.5159
15,0.6384,0.4856
16,0.6408,0.5556
17,0.6450,0.5293
18,0.6475,0.4489
19,0.6507,0.5453
20,0.6532,0.5046
21,0.6546,0.4461
22,0.6590,0.3150
23,0.6595,0.4587
24,0.6627,0.3960
25,0.6643,0.4730
26,0.6661,0.4748
27,0.6694,0.5065
28,0.6715,0.4569
29,0.6731,0.2533
30,0.6753,0.4116
31,0.6774,0.4914
32,0.6792,0.4362
33,0.6812,0.3692
34,0.6817,0.4824
35,0.6847,0.4514
36,0.6869,0.4293
37,0.6867,0.4285
38,0.6900,0.4469
39,0.6903,0.3423
40,0.6914,0.3597
41,0.6936,0.3573
42,0.6952,0.4554
43,0.6965,0.3949
44,0.6968,0.3265
45,0.6993,0.2986
46,0.7003,0.4323
47,0.7021,0.3302
48,0.7018,0.3667
49,0.7049,0.4606
50,0.7051,0.2888
51,0.7062,0.4647
52,0.7068,0.4629
53,0.7080,0.3922
54,0.7092,0.5444
55,0.7098,0.5175
56,0.7117,0.3481
57,0.7125,0.4723
58,0.7147,0.5543
59,0.7146,0.5224
60,0.7157,0.4666
61,0.7168,0.3486
62,0.7184,0.2363
63,0.7188,0.4760
64,0.7192,0.4179
65,0.7204,0.4483
66,0.7212,0.4814
67,0.7218,0.4224
68,0.7232,0.4471
69,0.7232,0.3954
70,0.7252,0.3929
71,0.7251,0.4164
72,0.7276,0.5420
73,0.7276,0.4967
74,0.7281,0.4224
75,0.7293,0.3725
76,0.7309,0.3145
77,0.7315,0.4687
78,0.7323,0.4779
79,0.7329,0.3789
80,0.7343,0.2740
81,0.7343,0.4934
82,0.7360,0.4321
83,0.7367,0.5015
84,0.7374,0.4237
85,0.7384,0.3104
86,0.7401,0.5042
87,0.7409,0.4361
88,0.7414,0.5309
89,0.7421,0.4295
90,0.7431,0.4412
91,0.7440,0.3128
92,0.7451,0.4504
93,0.7456,0.4507
94,0.7460,0.2913
95,0.7474,0.4026
96,0.7484,0.3688
97,0.7481,0.2347
98,0.7495,0.4675
99,0.7498,0.5123
100,0.7505,0.3549
101,0.7520,0.4218
102,0.7528,0.3442
103,0.7530,0.2568
104,0.7548,0.4256
105,0.7551,0.4380
106,0.7568,0.2184
107,0.7577,0.3943
108,0.7579,0.4390
109,0.7588,0.3868
110,0.7604,0.3406
111,0.7600,0.4177
112,0.7625,0.4171
